reason,level,reading,writing,page,column,entry_no,needs_review
duplicate_reading,N3,あける,明ける,143,left,01,
duplicate_reading,N3,いそぎ,急ぎ,143,left,03,
duplicate_reading,N3,うつる,移る,143,left,04,
duplicate_reading,N3,しばらく,しばらく,143,right,08,
duplicate_reading,N3,ずっと,ずっと,144,left,11,
duplicate_reading,N3,たつ,経つ,144,left,15,
duplicate_reading,N3,てつや,徹夜,144,right,,
duplicate_reading,N3,はじめ,始め,144,right,,
duplicate_reading,N3,まい,毎,145,left,25,
writing_exists_with_other_reading,N3,いっさくじつ,一昨日,145,right,01,
duplicate_reading,N3,きゅうじつ,休日,145,right,04,
duplicate_reading,N3,さく,昨,146,left,07,
writing_exists_with_other_reading,N3,さくじつ,昨日,146,left,08,
duplicate_reading,N3,しゅうまつ,週末,146,right,,
writing_exists_with_other_reading,N3,みょうごにち,明後日,147,left,23,
duplicate_reading,N3,じぜん,事前,148,left,oe,
duplicate_reading,N3,すぎる,過ぎる,148,left,07,
writing_exists_with_other_reading,N3,ぜん,前,148,left,08,
duplicate_reading,N3,のち,後,148,right,04,
duplicate_reading,N3,ふる,古,148,right,,
needs_review,N3,人StA,來,148,right,,reading_has_non_kana;reading_has_ocr_artifact
writing_exists_with_other_reading,N3,かん,間,149,left,01,
duplicate_reading,N3,きかん,期間,149,left,03,
duplicate_reading,N3,きげん,期限,149,left,04,
duplicate_reading,N3,ていき,定期,149,right,07,
duplicate_reading,N3,うつす,移す,150,left,01,
bad_reading_chars,N3,けん・げん,軒,150,left,04,
duplicate_reading,N3,ひっこし,引っ越し,150,right,08,
duplicate_reading,N3,マンション,mansion,150,right,,
duplicate_reading,N3,いま,居間,151,right,02,
duplicate_reading,N3,きく,効く,151,right,00,
duplicate_reading,N3,たな,棚,152,left,09,
bad_reading_chars,N3,ふろ(ば),風呂(場),152,right,,
duplicate_reading,N3,うまい,うまい,153,left,02,
duplicate_reading,N3,さげる,下げる,153,left,03,
duplicate_reading,N3,さめる,冷める,153,left,04,
duplicate_reading,N3,アイスクリーム,icecream,154,left,01,
duplicate_reading,N3,あぶら,油,154,left,02,
duplicate_reading,N3,かわ,皮,154,right,,
duplicate_reading,N3,くさる,腐る,154,right,,
duplicate_reading,N3,こしょう,胡椒,154,right,,
duplicate_reading,N3,ジュース,juice,155,left,14,
duplicate_reading,N3,チーズ,cheese,155,right,21,
duplicate_reading,N3,ビール,(荷)bier,156,left,28,
duplicate_reading,N3,べんとう,弁当,156,left,30,
duplicate_reading,N3,まぜる,混ぜる,156,left,31,
duplicate_reading,N3,みそしる,味噌汁,156,right,,
duplicate_reading,N3,あげる,揚げる,156,right,,
duplicate_reading,N3,あたためる,温める,156,right,,
duplicate_reading,N3,にる,煮る,157,left,09,
needs_review,N3,它<,囊<,157,right,01,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
duplicate_reading,N3,わく,沸く,157,right,14,
duplicate_reading,N3,ふく,服,158,left,05,
duplicate_reading,N3,タイプ,type,158,right,,
bad_reading_chars,N3,きがえる・きかえる,着替え,159,left,02,
duplicate_reading,N3,とおす,通す,159,right,08,
duplicate_reading,N3,あたたまる,温まる,161,left,01,
duplicate_reading,N3,うごかす,動かす,161,left,03,
duplicate_reading,N3,かける,掛ける,161,left,04,
duplicate_reading,N3,かた,肩,161,left,05,
duplicate_reading,N3,こし,腰,161,right,oe,
duplicate_reading,N3,むね,胸,162,left,13,
duplicate_reading,N3,うで,腕,162,left,02,
duplicate_reading,N3,うつる,映る,162,left,,
writing_exists_with_other_reading,N3,くびが,首,162,right,,
duplicate_reading,N3,した,舌,162,right,,
duplicate_reading,N3,はなす,離す,163,left,10,
writing_exists_with_other_reading,N3,ひようじょう,表情,163,left,12,
duplicate_reading,N3,あくしゅ,握手,163,right,01,
duplicate_reading,N3,うめる,埋める,163,right,03,
duplicate_reading,N3,おさえる,押さえる,164,left,04,
duplicate_reading,N3,つかむ,掴む,164,right,,
duplicate_reading,N3,つつむ,包む,164,right,,
duplicate_reading,N3,なおす,直す,165,left,20,
duplicate_reading,N3,ぬく,抜く,165,right,25,
duplicate_reading,N3,のばす,伸ばす,165,right,27,
duplicate_reading,N3,はくしゅ,拍手,166,left,28,
duplicate_reading,N3,はずす,外す,166,left,29,
bad_reading_chars,N3,ほ・ぽ,歩,166,right,,
duplicate_reading,N3,もも,股・乃,166,right,,
duplicate_reading,N3,せい,性,167,left,04,
duplicate_reading,N3,しぼう,死亡,167,right,04,
duplicate_reading,N3,なくなる,亡くなる,168,left,06,
duplicate_reading,N3,えいよう,栄養,168,left,01,
duplicate_reading,N3,おきる,起きる,168,left,02,
duplicate_reading,N3,おこす,起こす,168,left,03,
duplicate_reading,N3,しんちょう,身長,168,left,05,
duplicate_reading,N3,せいちょう,成長,168,right,,
duplicate_reading,N3,せわ,世話,168,right,,
duplicate_reading,N3,そだつ,育つ,168,right,,
duplicate_reading,N3,おかしい,可笑しい,169,left,01,
duplicate_reading,N3,かわく,渇く,169,left,03,
duplicate_reading,N3,けんさ,検査,169,left,05,
duplicate_reading,N3,さます,覚ます,169,left,06,
duplicate_reading,N3,さめる,覚める,169,right,07,
duplicate_reading,N3,ちょうし,調子,169,right,10,
duplicate_reading,N3,ねむる,眠る,170,left,14,
duplicate_reading,N3,はったつ,発達,170,left,15,
duplicate_reading,N3,へんか,変化,170,left,16,
duplicate_reading,N3,さます,冷ます,170,right,,
duplicate_reading,N3,なおす,治す,171,left,10,
duplicate_reading,N3,まく,巻く,171,left,13,
duplicate_reading,N3,みる,診る,171,left,14,
duplicate_reading,N3,よぼう,予防,171,left,15,
duplicate_reading,N3,こぼれる,零れる,171,right,03,
duplicate_reading,N3,さそう,誘う,171,right,04,
duplicate_reading,N3,せいねん,青年,172,left,05,
duplicate_reading,N3,わかもの,若者,173,left,13,
duplicate_reading,N3,こうはい,後募,173,right,07,
duplicate_reading,N3,こじん,個人,173,right,09,
bad_reading_chars,N3,レしゃ,者,174,left,01,
duplicate_reading,N3,しゅ,手,174,left,12,
duplicate_reading,N3,しゅじん,主人,174,left,03,
writing_exists_with_other_reading,N3,じょ,女,174,left,14,
duplicate_reading,N3,どの,殿,174,right,,
duplicate_reading,N3,ほんにん,本人,175,left,25,
duplicate_reading,N3,むすこさん,息子さん,175,left,26,
duplicate_reading,N3,ようじ,幼児,175,left,29,
duplicate_reading,N3,にあう,似合う,176,left,oe,
duplicate_reading,N3,おじぎ,お辞儀,176,right,,
duplicate_reading,N3,かたい,固い・硬い・堅い,177,left,08,
duplicate_reading,N3,しょうじき,正直,177,left,13,
duplicate_reading,N3,せいかく,性格,177,right,14,
duplicate_reading,N3,せっきょくてき,積極的,177,right,06,
duplicate_reading,N3,たいど,態度,177,right,18,
duplicate_reading,N3,どりょく,努力,178,left,20,
duplicate_reading,N3,なやむ,悩む,178,left,21,
duplicate_reading,N3,にがて,苦手,178,left,22,
duplicate_reading,N3,のうりょく,能力,178,left,23,
duplicate_reading,N3,はっきり,はっきり,178,left,25,
duplicate_reading,N3,ゆうしゅう,優秀,178,right,,
duplicate_reading,N3,よう,様,178,right,,
duplicate_reading,N3,らんぼう,乱暴,178,right,,
duplicate_reading,N3,あいて,相手,179,left,01,
duplicate_reading,N3,あわせる,合わせる,179,left,02,
duplicate_reading,N3,おたがい,お互い,179,left,03,
duplicate_reading,N3,きょうつう,共通,179,left,05,
writing_exists_with_other_reading,N3,きようりょく,協力,179,left,06,
duplicate_reading,N3,たがい,互い,179,right,10,
duplicate_reading,N3,たすける,助ける,179,right,11,
duplicate_reading,N3,つきあう,付き合う,180,left,14,
duplicate_reading,N3,なか,仲,180,left,17,
duplicate_reading,N3,みおくる,見送る,180,right,,
duplicate_reading,N3,みかた,味方,180,right,,
