level,reading,writing,page,column,entry_no,needs_review
N3,あける,明ける,143,left,01,
N3,あっというまに,あっという間に,143,left,02,
N3,いそぎ,急ぎ,143,left,03,
N3,うつる,移る,143,left,04,
N3,おくれ,遅れ,143,left,05,
N3,ぎりぎり,ぎりぎり,143,right,00,
N3,こうはん,後半,143,right,07,
N3,しばらく,しばらく,143,right,08,
N3,しょうご,正午,143,right,09,
N3,しんや,深夜,143,right,10,
N3,ずっと,ずっと,144,left,11,
N3,せいき,世紀,144,left,12,
N3,ぜんはん,前半,144,left,13,
N3,そうちょう,早朝,144,left,14,
N3,たつ,経つ,144,left,15,
N3,ちこく,遅刻,144,left,16,
N3,てつや,徹夜,144,right,,
N3,どうじに,同時に,144,right,,
N3,とつぜん,突然,144,right,,
N3,はじまり,始まり,144,right,,
N3,はじめ,始め,144,right,,
N3,ふける,更ける,145,left,22,
N3,ぶり,振り,145,left,23,
N3,へる,経る,145,left,24,
N3,まい,毎,145,left,25,
N3,まえもって,前もって,145,left,26,
N3,まよなか,真夜中,145,left,27,
N3,やかん,夜間,145,left,28,
N3,いっさくじつ,一昨日,145,right,01,
N3,いっさくねん,一昨年,145,right,02,
N3,きゅうじつ,休日,145,right,04,
N3,げじゅん,下旬,145,right,05,
N3,げつまつ,月末,146,left,oe,
N3,さく,昨,146,left,07,
N3,さくじつ,昨日,146,left,08,
N3,さくねん,昨年,146,left,00,
N3,じつ,日,146,left,19,
N3,しゅう,週,146,left,01,
N3,しゅうまつ,週末,146,right,,
N3,じょうじゅん,上旬,146,right,,
N3,せんじつ,先日,146,right,04,
N3,ぜんじつ,前日,146,right,,
N3,ちゅうじゅん,中旬,146,right,,
N3,ねんし,年始,146,right,,
N3,ねんまつねんし,年末年始,147,left,18,
N3,へいじつ,平日,147,left,19,
N3,ほんじつ,本日,147,left,20,
N3,ほんねん,本年,147,left,21,
N3,みょう,明,147,left,22,
N3,みょうごにち,明後日,147,left,23,
N3,ようび,曜日,147,right,24,
N3,よく,翌,147,right,25,
N3,よくじつ,翌日,147,right,26,
N3,いご,以後,147,right,ot,
N3,いぜん,以前,147,right,02,
N3,げんだい,現代,147,right,03,
N3,こんご,今後,148,left,04,
N3,じご,事後,148,left,08,
N3,じぜん,事前,148,left,oe,
N3,すぎる,過ぎる,148,left,07,
N3,ぜん,前,148,left,08,
N3,ちょくご,直後,148,left,00,
N3,ちょくぜん,直前,148,right,,
N3,のち,後,148,right,04,
N3,ふる,古,148,right,,
N3,みらい,未来,148,right,,
N3,人StA,來,148,right,,reading_has_non_kana;reading_has_ocr_artifact
N3,かん,間,149,left,01,
N3,きかん,期間,149,left,03,
N3,きげん,期限,149,left,04,
N3,シーズン,season,149,left,95,
N3,しめきり,締め切り,149,left,66,
N3,ていき,定期,149,right,07,
N3,まにあわせる,間に合わせる,149,right,08,
N3,うつす,移す,150,left,01,
N3,きたく,帰宅,150,left,02,
N3,くらす,暮らす,150,left,03,
N3,けん・げん,軒,150,left,04,
N3,じょう,晴,150,left,05,
N3,すごす,過ごす,150,right,06,
N3,せいけつ,清潔,150,right,07,
N3,ひっこし,引っ越し,150,right,08,
N3,マンション,mansion,150,right,,
N3,るすばん,留守番,150,right,o,
N3,わが,我が,151,left,12,
N3,とじる,閉じる,151,left,01,
N3,ノック,knock,151,left,02,
N3,ベランダ,veranda,151,left,03,
N3,やね,屋根,151,left,04,
N3,やぶる,破る,151,left,05,
N3,ロック,lock,151,right,oe,
N3,だんぼう,暖房,151,right,01,
N3,いま,居間,151,right,02,
N3,かざり,飾り,151,right,08,
N3,きく,効く,151,right,00,
N3,キッチン,kitchen,151,right,05,
N3,しんしつ,寝室,152,left,oe,
N3,せんめんじょ,洗面所,152,left,07,
N3,ダイニング,dining,152,left,08,
N3,たな,棚,152,left,09,
N3,つまる,詰まる,152,left,10,
N3,てんじょう,天井,152,left,11,
N3,はしら,欄,152,left,12,
N3,プラインド,blind,152,right,,
N3,ふろ(ば),風呂(場),152,right,,
N3,まどり,間取り,152,right,,
N3,もうふ,毛布,152,right,,
N3,ゆか,床,152,right,,
N3,よわめる,弱める,152,right,,
N3,リビング,living,152,right,,
N3,あぶら,脂,153,left,01,
N3,うまい,うまい,153,left,02,
N3,さげる,下げる,153,left,03,
N3,さめる,冷める,153,left,04,
N3,しょくご,食後,153,left,05,
N3,しょくぜん,食前,153,right,06,
N3,すっぱい,酸っぱい,153,right,07,
N3,マナー,manner,153,right,08,
N3,メニュー,menu,153,right,00,
N3,ランチ,Iunch,153,right,00,
N3,アイスクリーム,icecream,154,left,01,
N3,あぶら,油,154,left,02,
N3,インスタント,instant,154,left,03,
N3,オレンジ,orange,154,left,95,
N3,ガム,(英)gum,154,left,06,
N3,かゆ,紗,154,right,,
N3,かわ,皮,154,right,,
N3,くさる,腐る,154,right,,
N3,ケチャップ,ketchup,154,right,,
N3,こしょう,胡椒,154,right,,
N3,さけ,酒,154,right,,
N3,しゅ,酒,155,left,13,
N3,ジュース,juice,155,left,14,
N3,しょよくりょう,食料,155,left,15,
N3,しょくりょよう,食糧,155,left,16,
N3,しんせん,新鮮,155,left,17,
N3,スープ,soup,155,left,09,
N3,ソース,sauce,155,right,20,
N3,チーズ,cheese,155,right,21,
N3,チップ,chip,155,right,22,
N3,ちゃ,茶,155,right,23,
N3,デザート,desser,155,right,24,
N3,ドレッシング,dressing,155,right,25,
N3,なま,生,156,left,27,
N3,ビール,(荷)bier,156,left,28,
N3,ファストフード,fastfood,156,left,29,
N3,べんとう,弁当,156,left,30,
N3,まぜる,混ぜる,156,left,31,
N3,マヨネーズ,mayonnaise,156,left,32,
N3,みそしる,味噌汁,156,right,,
N3,ミルク,milk,156,right,,
N3,ワイン,wine,156,right,,
N3,あげる,揚げる,156,right,,
N3,あたためる,温める,156,right,,
N3,こぼす,溢す,157,left,03,
N3,たく,炊く,157,left,04,
N3,たける,炊ける,157,left,05,
N3,つよめる,強める,157,left,06,
N3,てい,低,157,left,07,
N3,にえる,煮える,157,left,08,
N3,にる,煮る,157,left,09,
N3,ひやす,冷やす,157,right,00,
N3,它<,囊<,157,right,01,reading_has_non_kana;writing_has_unexpected_chars;reading_has_ocr_artifact;writing_has_ocr_artifact
N3,むす,蒸す,157,right,12,
N3,ゆでる,茹でる,157,right,13,
N3,わく,沸く,157,right,14,
N3,わる,割る,157,right,15,
N3,えり,襟,158,left,o,
N3,オーバーコート,overcoat,158,left,02,
N3,ジーンズ,jeans,158,left,03,
N3,ジャケット,jacket,158,left,94,
N3,ふく,服,158,left,05,
