level,reading,writing,page,column,entry_no,needs_review
N3,せいふく,制服,158,right,,
N3,そで,袖,158,right,,
N3,タイプ,type,158,right,,
N3,ティーシャツ,T-shirt,158,right,,
N3,パンツ,pants,158,right,,
N3,パンプス,pumps,159,left,11,
N3,ぴったり,ぴったり,159,left,12,
N3,プラウス,blouse,159,left,13,
N3,ぼろぼろ,ぼろぼろ,159,left,14,
N3,きがえ,着替え,159,left,01,
N3,きがえる・きかえる,着替え,159,left,02,
N3,スカーフ,scarf,159,right,03,
N3,ストッキング,stocking,159,right,04,
N3,スニーカー,sneakers,159,right,05,
N3,ぞうり,草履,159,right,00,
N3,ソックス,socke,159,right,07,
N3,とおす,通す,159,right,08,
N3,バッグ,bag,160,left,11,
N3,ベルト,belt,160,right,,
N3,ヘルメット,helmet,160,right,,
N3,マフラー,muffler,160,right,,
N3,あたたまる,温まる,161,left,01,
N3,うごかす,動かす,161,left,03,
N3,かける,掛ける,161,left,04,
N3,かた,肩,161,left,05,
N3,こし,腰,161,right,oe,
N3,しり,尻,161,right,09,
N3,バランス,balance,161,right,08,
N3,ひふ,皮膚,161,right,09,
N3,ほね,骨,162,left,01,
N3,むける,剥ける,162,left,12,
N3,むね,胸,162,left,13,
N3,もむ,揉む,162,left,14,
N3,うで,腕,162,left,02,
N3,うつる,映る,162,left,,
N3,かぐ,嗅ぐ,162,right,,
N3,かみのけ,髪の毛,162,right,,
N3,くちびる,唇,162,right,,
N3,くびが,首,162,right,,
N3,した,舌,162,right,,
N3,だまる,黙る,163,left,oy,
N3,はなす,離す,163,left,10,
N3,ひたい,額,163,left,11,
N3,ひようじょう,表情,163,left,12,
N3,ほお,類,163,left,13,
N3,まつげ,まつ毛,163,left,14,
N3,まぶた,瞼,163,left,15,
N3,みかける,見掛ける,163,right,07,
N3,あくしゅ,握手,163,right,01,
N3,あしくぴ,足首,163,right,02,
N3,うめる,埋める,163,right,03,
N3,おさえる,押さえる,164,left,04,
N3,おやゆび,親指,164,left,05,
N3,かかと,踵,164,left,06,
N3,つめ,爪,164,left,00,
N3,くすりゆび,薬指,164,left,08,
N3,こゆび,小指,164,left,09,
N3,だく,抱く,164,left,,
N3,たたく,叩く,164,right,,
N3,つかむ,掴む,164,right,,
N3,つつむ,包む,164,right,,
N3,つなぐ,繋ぐ,164,right,,
N3,つまさき,爪先,164,right,,
N3,てくびが,手首,165,left,17,
N3,てのこう,手の甲,165,left,18,
N3,てのひら,手の平・掌,165,left,19,
N3,なおす,直す,165,left,20,
N3,なかゆび,中指,165,left,21,
N3,なぐる,殴る,165,right,22,
N3,ならす,鳴らす,165,right,23,
N3,にぎる,握る,165,right,24,
N3,ぬく,抜く,165,right,25,
N3,ぬらす,濡らす,165,right,26,
N3,のばす,伸ばす,165,right,27,
N3,はくしゅ,拍手,166,left,28,
N3,はずす,外す,166,left,29,
N3,はら,腹,166,left,30,
N3,ばらばら,ばらばら,166,left,31,
N3,ひざ,膝,166,left,32,
N3,ひじ,肘,166,left,03,
N3,ひとさしゆが,人差し指,166,right,,
N3,ほ・ぽ,歩,166,right,,
N3,まげる,曲げる,166,right,,
N3,もも,股・乃,166,right,,
N3,いっしょう,一生,167,left,01,
N3,いのち,命,167,left,02,
N3,うむ,産む,167,left,03,
N3,せい,性,167,left,04,
N3,せいねんがっぴ,生年月日,167,left,05,
N3,たんじょう,誕生,167,left,06,
N3,おい,老い,167,right,01,
N3,こうれい,高齢,167,right,02,
N3,しご,死後,167,right,08,
N3,しぼう,死亡,167,right,04,
N3,せいぜん,生前,167,right,08,
N3,なくなる,亡くなる,168,left,06,
N3,えいよう,栄養,168,left,01,
N3,おきる,起きる,168,left,02,
N3,おこす,起こす,168,left,03,
N3,けんこう,健康,168,left,94,
N3,しんちょう,身長,168,left,05,
N3,せいちょう,成長,168,right,,
N3,せわ,世話,168,right,,
N3,そだつ,育つ,168,right,,
N3,たいじゅう,体重,168,right,,
N3,のびる,伸びる,168,right,,
N3,はみがき,歯磨き,168,right,,
N3,はやす,生やす,169,left,12,
N3,おかしい,可笑しい,169,left,01,
N3,かゆい,痒い,169,left,02,
N3,かわく,渇く,169,left,03,
N3,ぐっすり,ぐっすり,169,left,04,
N3,けんさ,検査,169,left,05,
N3,さます,覚ます,169,left,06,
N3,さめる,覚める,169,right,07,
N3,しゃっくり,しゃっくり,169,right,08,
N3,たいりょく,体力,169,right,09,
N3,ちょうし,調子,169,right,10,
N3,つかれ,疲れ,169,right,11,
N3,どきどき,どきどき,169,right,12,
N3,ぬける,抜ける,170,left,13,
N3,ねむる,眠る,170,left,14,
N3,はったつ,発達,170,left,15,
N3,へんか,変化,170,left,16,
N3,よわまる,弱まる,170,left,17,
N3,いためる,傷める・痛める,170,left,01,
N3,ウイルス,virus,170,right,,
N3,さます,冷ます,170,right,,
N3,しゅじゅつ,手術,170,right,,
N3,しょうじょう,症状,170,right,,
N3,じょうたい,状態,170,right,,
N3,ダウン,down,170,right,,
N3,ちりょう,治療,171,left,09,
N3,なおす,治す,171,left,10,
N3,ぼう,防,171,left,11,
N3,ほうたい,包帯,171,left,12,
N3,まく,巻く,171,left,13,
N3,みる,診る,171,left,14,
N3,よぼう,予防,171,left,15,
N3,くさい,臭い,171,right,01,
N3,けつえき,血液,171,right,oz,
N3,こぼれる,零れる,171,right,03,
N3,さそう,誘う,171,right,04,
N3,なみだ,涙,171,right,05,
N3,ふくむ,含む,171,right,06,
N3,あらわす,現す,172,left,91,
N3,しょうじょ,少女,172,left,02,
N3,しょうねん,少年,172,left,03,
N3,せいじん,成人,172,left,,
N3,せいねん,青年,172,left,05,
N3,ちゅうこうねん,中高年,172,right,,
N3,ちゅうねん,中年,172,right,,
N3,としうえ,年上,172,right,,
N3,としより,年寄り,172,right,,
N3,ミス,Miss,172,right,,
N3,めうえ,目上,173,left,11,
N3,ろうじん,老人,173,left,12,
N3,わかもの,若者,173,left,13,
N3,アマチュア,amateur,173,left,01,
N3,いもうとさん,妹さん,173,left,02,
N3,おまごさん,お孫さん,173,left,03,
N3,グループ,group,173,right,08,
N3,こいびと,恋人,173,right,oe,
N3,こうはい,後募,173,right,07,
N3,こうれいしゃ,高齢者,173,right,08,
N3,こじん,個人,173,right,09,
N3,しじん,詩人,173,right,10,
N3,レしゃ,者,174,left,01,
N3,しゅ,手,174,left,12,
N3,しゅじん,主人,174,left,03,
N3,じょ,女,174,left,14,
N3,しょくにん,職人,174,left,05,
N3,しりあい,知り合い,174,left,16,
N3,スター,star,174,right,,
N3,だん,団,174,right,,
N3,だんたい,団体,174,right,,
N3,ちょう,長,174,right,,
N3,どくしん,独身,174,right,,
N3,どの,殿,174,right,,
N3,ベテラン,veteran,175,left,23,
N3,ボランティア,volunteer,175,left,24,
N3,ほんにん,本人,175,left,25,
N3,むすこさん,息子さん,175,left,26,
N3,やぬし,家主,175,left,27,
N3,ゆうじん,友人,175,left,28,
N3,ようじ,幼児,175,left,29,
N3,リーダー,leader,175,right,31,
N3,イメージ,image,175,right,01,
N3,おしゃれ,お洒落,175,right,02,
N3,かっこういい,格好いい,175,right,08,
N3,けしょう,化粧,176,left,94,
N3,そっくり,そっくり,176,left,05,
N3,にあう,似合う,176,left,oe,
N3,はで,派手,176,left,07,
N3,びじん,美人,176,left,08,
N3,あわてる,慌てる,176,left,00,
N3,いじわる,意地悪,176,right,,
N3,いたずら,悪戯,176,right,,
N3,いらいら,昔々,176,right,,
N3,おじぎ,お辞儀,176,right,,
N3,おとなしい,大人しい,176,right,,
N3,かたい,固い・硬い・堅い,177,left,08,
N3,きちんと,きちんと,177,left,09,
N3,けち,けち,177,left,11,
N3,しょうきょくてき,消極的,177,left,12,
N3,しょうじき,正直,177,left,13,
N3,せいかく,性格,177,right,14,
N3,せっきょくてき,積極的,177,right,06,
N3,たいど,態度,177,right,18,
N3,どりょく,努力,178,left,20,
N3,なやむ,悩む,178,left,21,
N3,にがて,苦手,178,left,22,
N3,のうりょく,能力,178,left,23,
N3,ばか,馬鹿,178,left,24,
N3,はっきり,はっきり,178,left,25,
N3,やるき,やる気,178,right,,
N3,ゆうしゅう,優秀,178,right,,
N3,よう,様,178,right,,
N3,らんぼう,乱暴,178,right,,
N3,あいて,相手,179,left,01,
N3,あわせる,合わせる,179,left,02,
N3,おたがい,お互い,179,left,03,
N3,カップル,couple,179,left,04,
N3,きょうつう,共通,179,left,05,
N3,きようりょく,協力,179,left,06,
N3,コミュニケーションシ,コミュニケーションシ,179,right,07,
N3,したしい,親しい,179,right,08,
N3,すれちがう,探れ違う,179,right,09,
N3,たがい,互い,179,right,10,
N3,たすける,助ける,179,right,11,
N3,ちかづける,近付ける,179,right,12,
N3,つきあう,付き合う,180,left,14,
N3,デート,date,180,left,15,
N3,であう,出会う,180,left,16,
N3,なか,仲,180,left,17,
N3,パートナー,partner,180,left,18,
N3,はなしあう,話し合う,180,left,03,
N3,みおくり,見送り,180,right,,
N3,みおくる,見送る,180,right,,
N3,みかた,味方,180,right,,
N3,いったい,一体,181,left,01,
N3,いとこ,従兄弟・従姉妹,181,left,02,
N3,だい,代,181,left,04,
N3,ちょうじょ,長女,181,left,05,
N3,ふうふ,夫婦,181,right,07,
N3,まご,孫,181,right,08,
N3,みょうじ,名字・苗字,181,right,09,
N3,めい,姪,181,right,10,
N3,もち,持ち,181,right,11,
N3,ゆらす,揺らす,182,left,12,
N3,りこん,離婚,182,right,03,
N3,うし,牛,183,left,01,
N3,うま,馬,183,left,02,
N3,かう,飼う,183,left,03,
N3,せいぶつ,生物,183,left,04,
N3,とう,頭,183,left,05,
N3,さくら,桜,184,left,01,
N3,そば,蕎麦,184,left,02,
N3,はえる,生える,184,left,03,
N3,ひようほん,標本,184,left,04,
N3,ひらく,開く,184,left,05,
N3,フルーツ,fruits,184,right,,
N3,かががくはんのう,化学反応,185,left,01,
N3,こおり,氷,185,left,02,
N3,ダイヤモンド,diamond,185,left,93,
N3,とかす,溶かす,185,left,04,
N3,はい,灰,185,left,05,
N3,リサイクル,recycle,185,right,06,
N3,エネルギー,(独)energie,185,right,01,
N3,かわる,替わる,185,right,02,
N3,けむり,煙,185,right,03,
N3,しげん,資源,185,right,04,
N3,もやす,燃やす,186,left,05,
N3,あさ,麻,186,left,01,
N3,ウール,wool,186,left,02,
N3,きれる,切れる,186,left,03,
N3,コットン,cotton,186,left,04,
N3,しつ,質,186,left,05,
N3,シルク,silk,186,right,,
N3,てっこう,鉄鋼,186,right,,
N3,ビニール,vinyI,186,right,,
N3,プラスチック,plastic,186,right,,
N3,ポリエステル,polyethylene,186,right,,
N3,めん,費,186,right,,
N3,あたる,当たる,187,left,01,
N3,いじょうきしょう,異常気象,187,left,02,
N3,いんりょく,引力,187,left,03,
N3,おんど,温度,187,left,04,
N3,くれ,暮れ,187,left,05,
N3,しっけ,湿気,187,right,oe,
N3,しつど,湿度,187,right,07,
N3,ちきゅう,地球,187,right,09,
N3,つゆ,梅雨,187,right,10,
N3,のぼる,昇る,187,right,11,
N3,ふかまる,深まる,188,left,12,
N3,まっくら,真っ暗,188,left,13,
N3,まぶしい,敗しい,188,left,14,
N3,むしあつい,蒸し暑い,188,left,15,
N3,うまる,埋まる,188,left,01,
N3,すいてき,水滴,188,right,,
N3,ちらす,散らす,188,right,,
N3,ちる,散る,188,right,,
N3,つもる,積もる,188,right,,
N3,つよまる,強まる,189,left,09,
N3,とく,溶く,189,left,10,
N3,とける,溶ける,189,left,11,
N3,ながす,流す,189,left,12,
N3,ながれる,流れる,189,left,13,
N3,なる,鳴る,189,left,14,
N3,はずれる,外れる,189,left,15,
N3,はる,張る,189,right,16,
N3,ひがい,被害,189,right,17,
N3,もえる,燃える,189,right,19,
N3,やぶれる,破れる,189,right,20,
N3,ゆれる,揺れる,189,right,21,
N3,あな,穴,190,left,01,
N3,きゅうりょう,丘陵,190,left,02,
N3,こう,浴,190,left,,
N3,こきょう,故郷,190,left,05,
N3,さか,坂,190,right,,
N3,さん,山,190,right,,
N3,しぜん,自然,190,right,,
N3,じばん,地盤,190,right,,
N3,わん,湾,190,right,,
N3,あける,空ける,191,left,01,
N3,くう,空,191,left,02,
N3,そこ,底,191,left,03,
N3,ちほう,地方,191,left,04,
N3,どこか,どこか,191,left,05,
N3,はたけ,畑,191,left,06,
N3,あたり,辺り,191,right,00,
N3,かこむ,囲む,191,right,02,
N3,かんきょう,環境,191,right,03,
N3,きこく,上帰国,191,right,04,
N3,きんじょ,近所,191,right,05,
N3,しゅう,州,192,left,07,
N3,しゅっしん,出身,192,left,08,
N3,しょ,所,192,left,o,
N3,せけん,世間,192,left,01,
N3,ちか,地下,192,left,02,
N3,ちく,地区,192,right,03,
N3,ちゅうしん,中心,192,right,,
N3,とうよう,東洋,192,right,,
N3,ところどころ,所々,192,right,,
N3,とし,都市,192,right,,
N3,ない,内,192,right,,
N3,はなれる,離れる,193,left,19,
N3,はんい,範囲,193,left,20,
N3,ひろまる,広まる,193,left,21,
N3,ひろめる,広める,193,left,22,
N3,まわり,周り,193,right,06,
N3,よのなか,世の中,193,right,27,
N3,かしょ,箇所,193,right,oz,
N3,くだる,下る,194,left,00,
N3,しょうめん,正面,194,left,05,
N3,しるし,印,194,left,00,
N3,すすむ,進む,194,left,07,
N3,すすめる,進める,194,left,08,
N3,ちかづく,近づく,194,right,,
N3,つきあたり,突き当たり,194,right,,
N3,てん,点,194,right,,
N3,とじょう,途上,194,right,,
N3,ななめ,斜め,194,right,,
N3,のぼる,上る,194,right,,
N3,はし,端,195,left,15,
N3,ふたて,二手,195,left,16,
N3,むかい,向かい,195,left,17,
N3,むき,向き,195,left,18,
N3,むく,向く,195,left,19,
N3,むける,向ける,195,left,20,
N3,もくてきち,目的地,195,right,21,
N3,よる,寄る,195,right,22,
N3,りょうがわ,両側,195,right,24,
N3,かん,館,196,left,01,
N3,くやくしょ,区役所,196,left,02,
N3,けいさつしょ,警察署,196,left,03,
N3,こうみんかん,公民館,196,left,04,
N3,しやくしょ,市役所,196,left,05,
N3,じょう,場,196,right,,
N3,しょうぼうしょ,消防署,196,right,,
N3,にゅうこくかんりきょく,入管理局,196,right,,
N3,ほけんじょ,保健所,196,right,,
N3,えん,園,196,right,,
N3,げきじょう,劇場,197,left,02,
N3,はくぶつかん,博物館,197,left,04,
N3,ふろや,風呂屋,197,left,05,
N3,ホール,hall,197,left,oe,
N3,ほいくえん,保育園,197,left,07,
N3,あつまり,集まり,197,right,01,
N3,オープン,open,197,right,02,
N3,コンビニ,コンビニ(エンスストア),197,right,09,
N3,しょうばい,商売,197,right,05,
N3,チケット,ticket,198,left,06,
N3,ちゅうもん,注文,198,left,07,
N3,バーゲンセール,bargainsale,198,left,98,
N3,ばいてん,売店,198,left,00,
N3,ばん,番,198,left,00,
N3,かい,会,198,left,01,
N3,しゃ,社,198,right,,
N3,とうさん,倒産,198,right,,
N3,ほうもん,訪問,198,right,,
N3,いき・ゆき,行き,199,left,01,
N3,おろす,下ろす・降ろす,199,left,02,
N3,かたみち,片道,199,left,03,
N3,けいゆ,経由,199,left,04,
N3,しゃ,車,199,left,05,
N3,じゅうたい,渋滞,199,right,oe,
N3,しんごう,信号,199,right,om,
N3,スピード,speed,199,right,09,
N3,そくど,速度,199,right,10,
N3,ダイヤ,diamond・diagram之略,200,left,01,
N3,たかめる,高める,200,left,12,
N3,たつ,発つ,200,left,03,
N3,ちかみち,近道,200,left,14,
N3,ていきけん,定期券,200,left,05,
N3,ていりゅうじょ,停留所,200,left,16,
N3,とおりこす,通り越す,200,right,,
N3,とおる,通る,200,right,,
N3,とっきゅう,特急,200,right,,
N3,とばす,飛ばす,200,right,,
N3,ドライブ,drive,200,right,,
N3,のせる,乗せる,200,right,,
N3,プレーキ,brake,201,left,23,
N3,めんきよ,免許,201,left,24,
N3,ラッシュ,rush,201,left,25,
N3,ロケット,rocket,201,left,27,
N3,かいさつぐち,改札口,201,left,01,
N3,かいそく,快速,201,right,02,
N3,かくえきていしゃ,各駅停車,201,right,08,
N3,きゅうこう,急行,201,right,04,
N3,こむ,込む・混む,201,right,08,
N3,こんざつ,混雑,201,right,oe,
N3,ジェットき,ジェット機,201,right,07,
N3,しんかんせん,新幹線,202,left,08,
N3,つなげる,繋げる,202,left,09,
N3,とくべつきゅうこう,特別急行,202,left,10,
N3,のぼり,上り,202,left,01,
N3,のりかえ,乗り換え,202,left,02,
N3,のりこし,乗り越し,202,left,03,
N3,ふみきり,踏切,202,right,,
N3,ホーム,platform之略,202,right,,
N3,まにあう,間に合う,202,right,,
N3,むかえ,迎え,202,right,,
N3,れっしゃ,列車,202,right,,
N3,かわる,代わる,203,left,01,
N3,つむ,積む,203,left,02,
N3,どうろ,道路,203,left,03,
N3,とおり,通り,203,left,04,
N3,パイク,bike,203,left,05,
N3,パン,van,203,left,oe,
N3,ぶつける,ぶつける,203,right,07,
N3,レンタル,rental,203,right,om,
N3,あてな,宛名,204,left,01,
N3,インターネット,internet,204,left,02,
N3,かきとめ,書留,204,left,03,
N3,こうくうびん,航空便,204,left,94,
N3,こづつみ,小包,204,left,05,
N3,そくたつ,速達,204,right,,
N3,たくはいびん,宅配便,204,right,,
N3,つうじる・つうずる,通じる,204,right,,
N3,つながる,繋がる,204,right,,
N3,とどく,届く,204,right,,
N3,ふなびん,船便,205,left,11,
N3,やりとり,やり取り,205,left,12,
N3,ゆうそう,郵送,205,left,13,
N3,ゆうびん,郵便,205,left,14,
N3,アンケート,(法)enquete,205,left,01,
N3,こうこく,広告,205,left,02,
N3,しらせ,知らせ,205,right,03,
N3,せんでん,宣伝,205,right,08,
N3,のせる,載せる,205,right,05,
N3,はやる,流行る,205,right,oe,
N3,ふきゅう,普及,205,right,07,
N3,ブログ,blog,205,right,om,
N3,ホームページ,homepage,206,left,09,
N3,よせる,寄せる,206,left,10,
N3,アナウンス,announce,206,left,09,
N3,インタビュー,interview,206,left,92,
N3,きじ,記事,206,left,03,
N3,じょうほう,情報,206,left,,
N3,スポーツちゅうけい,スポー中継,206,right,05,
N3,ちょうかん,朝刊,206,right,05,
N3,テレビばんぐみ,テレビ番組,206,right,07,
N3,ドキュメンタリー,documentary,206,right,03,
N3,マスコミ,mass communication之略,206,right,,
N3,ゆうかん,夕刊,206,right,,
N3,オリンピック,Olympics,207,left,01,
N3,きろく,記録,207,left,02,
N3,しょうひ,消費,207,left,03,
N3,スキー,ski,207,left,04,
N3,チーム,team,207,left,05,
N3,とぶ,跳ぶ,207,right,oe,
N3,トレーニング,training,207,right,07,
N3,バレエ,ballet,207,right,08,
N3,あらそう,争う,207,right,01,
N3,おうえん,応援,207,right,02,
N3,かち,勝ち,208,left,03,
N3,かんぜん,完全,208,left,05,
N3,しょう,勝,208,left,00,
N3,ける,蹴る,208,right,,
N3,たま,球,208,right,,
N3,トラック,track,208,right,,
N3,ボール,ball,208,right,,
N3,ラケット,racket,208,right,,
N3,アニメ,animation,209,left,01,
N3,かるた,carta・歌留多,209,left,02,
N3,かんこう,観光,209,left,03,
N3,クイズ,quiz,209,left,04,
N3,くじ,籤,209,left,05,
N3,ゲーム,game,209,left,oe,
N3,ドラマ,drama,209,right,07,
N3,ハイキング,hiking,209,right,oe,
N3,はく・ぱばく,泊,209,right,00,
N3,バラエティー,variety,209,right,11,
N3,ピクニック,picnic,209,right,12,
N3,かい,会,210,left,02,
N3,げいじゅつ,芸術,210,left,03,
N3,さくひん,作品,210,left,04,
N3,しゅつじょう,出場,210,right,05,
N3,デザイン,design,210,right,07,
N3,びじゅつ,美術,210,right,05,
N3,えんか,演歌,210,right,04,
N3,えんそう,演奏,210,right,,
N3,きょく,曲,211,left,04,
N3,クラシック,classic,211,left,05,
N3,ジャズ,jazz,211,left,oe,
N3,バイオリン,violin,211,left,07,
N3,ポップス,pops,211,left,08,
N3,アクション,action,211,right,01,
N3,エスエフ,science fiction,211,right,02,
N3,えんげき,演劇,211,right,08,
N3,オペラ,opera,211,right,04,
N3,かげき,歌劇,211,right,oe,
N3,コメディー,comedy,212,left,07,
N3,ストーリー,story,212,left,08,
N3,ばめん,場面,212,left,09,
N3,ぶたい,舞台,212,right,,
N3,ホラー,horror,212,right,,
N3,ミュージカル,musical,212,right,,
N3,かく,各,213,left,01,
N3,かず,数,213,left,02,
N3,きすう,奇数,213,left,03,
N3,けた,桁,213,left,04,
N3,すうじ,数字,213,left,05,
N3,せいすう,整数,213,right,06,
N3,ちょう,兆,213,right,07,
N3,ナンバー,number,213,right,09,
N3,パーセント,percent,213,right,10,
N3,びょう,秒,213,right,01,
N3,プラス,plus,214,left,12,
N3,マイナス,minus,214,left,43,
N3,あう,合う,214,left,00,
N3,イコール,equal,214,left,92,
N3,かけざん,掛け算,214,left,93,
N3,かぞえる,数える,214,right,04,
N3,けい,計,214,right,05,
N3,けいさん,計算,214,right,05,
N3,ししゃごにゅう,四捨五入,214,right,07,
N3,しょうすう,小数,214,right,08,
N3,しょうすうてん,小数点,214,right,,
N3,たしざん,足し算,215,left,10,
N3,でんたく,電卓,215,left,11,
N3,ひきざん,引き算,215,left,12,
N3,ぶんすう,分数,215,left,13,
N3,わり,割り・割,215,left,14,
N3,わりあい,割合,215,left,15,
N3,わりざん,割り算,215,right,16,
N3,あさい,浅い,215,right,01,
N3,アップ,up,215,right,oz,
