reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
あいま,合間,あいま,事物之間的空隙、間隔；空檔時間,kanji,527,left,01,合間
アワー,アワー,あわあ,小時；時段,katakana,527,left,02,hour
いっきに,一気に,いっきに,一口氣地,kanji,527,left,03,一気に
いっこく,一刻,いっこく,一刻、片刻,kanji,527,left,04,一刻
おくらす,遅らす,おくらす,延遲、拖延,kanji,527,left,05,遅らす
きっかり,きっかり,きっかり,正好、整整,hiragana,527,right,07,きっかり
ゴールデンタイム,ゴールデンタイム,ごおるでんたいむ,黃金時段,katakana,527,right,09,(和) i golden +十 time
じこくひょう,時刻表,じこくひょう,時刻表,kanji,528,left,03,時刻表
じさ,時差,じさ,時差,kanji,528,left,04,時差
じっくり,じっくり,じっくり,慢慢地、仔細地、不慌不忙,hiragana,528,left,05,じっくり
スムーズ,スムーズ,すむうず,順利、流暢,katakana,529,left,24,smooth
ずるずる,ずるずる,ずるずる,拖拖拉拉；滑溜；吸麵等聲音,hiragana,529,left,25,ずるずる
ずれ,ずれ,ずれ,位置、時間意見等、不一致、分岐、偏離、背離、不吻合,hiragana,529,left,26,ずれ
せかす,急かす,せかす,催促,kanji,529,left,27,急かす
そくざに,即座に,そくざに,立即、馬上,kanji,529,left,29,即座に
そくする,即する,そくする,符合、切合；根據,kanji,529,left,30,即する
タイト,タイト,たいと,緊的、貼身的；行程緊湊的,katakana,529,right,31,tigh
タイマー,タイマー,たいまあ,秒錶、計時器、定時器,katakana,529,right,32,timer
タイム,タイム,たいむ,時間；比賽成績；暫停,katakana,529,right,34,time
たんしゅく,短縮,たんしゅく,縮短時間；縮短,kanji,530,left,03,短縮
ついやす,費やす,ついやす,花費、耗費,kanji,530,left,07,費やす
つかのま,束の間,つかのま,一瞬間、轉眼間、轉瞬,kanji,530,left,38,束の間
ときおり,時折,ときおり,有時、偶爾,kanji,530,left,03,時折
はやまる,早まる,はやまる,提前；過早；輕率、貿然,kanji,530,left,42,早まる
まっき,末期,まっき,末期、最後的時期、最後階段、臨終,kanji,530,right,05,末期
もちきり,持ち切り,もちきり,滿是某個話題；始終談論某事,kanji,531,left,49,持ち切り
よか,余暇,よか,閒暇、業餘時間,kanji,531,left,50,余暇
ルーズ,ルーズ,るうず,形動、鬆懈、鬆弛、散漫、吊兒郎當,katakana,531,left,51,loose
かくしゅう,隔週,かくしゅう,每隔一週、隔週,kanji,531,left,01,隔週
がんねん,元年,がんねん,元年,kanji,531,left,02,元年
こよみ,暦,こよみ,曆書,kanji,531,left,03,暦
サイクル,サイクル,さいくる,周期循環、一韓、自行車、和,katakana,531,right,04,cycle
しゅうじつ,終日,しゅうじつ,整天、終日,kanji,531,right,05,終日
スプリング,スプリング,すぷりんぐ,春天、彈簧、跳躍、彈跳,katakana,531,right,,spring
せんだって,先だって,せんだって,前幾天、前些日子、那一天、事先,kanji,531,right,08,先だって
ばんねん,晩年,ばんねん,晚年,kanji,532,left,11,晩年
ひごろ,日頃,ひごろ,平日、平時,kanji,532,left,02,日頃
めざめる,目覚める,めざめる,醒來；覺醒,kanji,532,left,03,目覚める
ゆうぐれ,夕暮れ,ゆうぐれ,黃昏、傍晚,kanji,532,left,14,夕暮れ
いきさつ,経緯,いきさつ,原委、經過,kanji,532,right,01,経緯
いにしえ,古,いにしえ,古代、往昔,kanji,533,left,03,古
いまだ,未だ,いまだ,尚未、仍然,kanji,533,left,04,未だ
かねて,予て,かねて,以前、早先,kanji,533,left,06,予て
がんらい,元来,がんらい,原本、本來,kanji,533,left,07,元来
けいい,経緯,けいい,原委、經過；經度與緯度,kanji,533,left,09,経緯
こだい,古代,こだい,古代,kanji,533,right,10,古代
さきに,先に,さきに,先前、以前,kanji,533,right,11,先に
じきに,直に,じきに,不久後、馬上,kanji,533,right,02,直に
ニュー,ニュー,にゅう,新的、新式的,katakana,534,left,07,new
ひさしい,久しい,ひさしい,好久、長久,kanji,534,left,08,久しい
へんせん,変遷,へんせん,變遷、演變,kanji,534,left,20,変遷
おそくとも,遅くとも,おそくとも,最晚、至遲,kanji,534,right,02,遅くとも
かぎりない,限りない,かぎりない,無限、無比,kanji,534,right,03,限りない
かみつ,過密,かみつ,過密、過度集中,kanji,535,left,04,過密
きじつ,期日,きじつ,日期、期限,kanji,535,left,08,期日
しゅうき,周期,しゅうき,週期,kanji,535,right,08,周期
ひどり,日取り,ひどり,日期、日程,kanji,535,right,09,日取り
いえで,家出,いえで,離家出走,kanji,536,left,0n,家出
かまえる,構える,かまえる,擺出姿勢；架設、開設；戒備,kanji,536,left,02,構える
かまえ,構え,かまえ,架勢、姿勢；格局；心理準備,kanji,536,left,03,構え
つくり,作り・造り,つくり,結構、做法；外觀,kanji,537,left,01,作り・造り
ていたく,邸宅,ていたく,宅邸、豪宅,kanji,537,left,12,邸宅
どうきょ,同居,どうきょ,同居、共存,kanji,537,left,13,同居
とじまり,戸締まり,とじまり,鎖門窗,kanji,537,left,14,戸締まり
のきなみ,軒並み,のきなみ,家家戶戶；一律、全部,kanji,537,left,15,軒並み
べっきょ,別居,べっきょ,分居,kanji,537,left,06,別居
インターホン,インターホン,いんたあほん,對講機、門口通話機,katakana,537,right,01,インターホン
えんがわ,縁側,えんがわ,緣廊、走廊,kanji,537,right,,縁側
かだん,花壇,かだん,花壇、花圃,kanji,537,right,04,花壇
ガレージ,ガレージ,がれえじ,車庫,katakana,537,right,05,garage
がんじょう,頑丈,がんじょう,堅固、健壯,kanji,538,left,00,頑丈
とびら,扉,とびら,門扇；扉頁,kanji,538,left,,扉
ほうち,放置,ほうち,放置不理、置之不理,kanji,538,right,03,放置
やしき,屋敷,やしき,宅邸、宅地,kanji,538,right,01,屋敷
すえる,据える,すえる,安放、設置；安排,kanji,539,left,04,据える
ちゃのま,茶の間,ちゃのま,起居室、客廳,kanji,539,left,05,茶の間
ながし,流し,ながし,流理臺,kanji,539,left,06,流し
にゅうよく,入浴,にゅうよく,入浴、洗澡,kanji,539,left,07,入浴
はいすい,排水,はいすい,排水,kanji,539,left,08,排水
はいち,配置,はいち,配置、部署,kanji,539,left,09,配置
ユニットバス,ユニットバス,ゆにっとばす,整體浴室、套裝浴室,katakana,539,right,12,ユニットバス
ようしき,洋式,ようしき,西式,kanji,539,right,13,洋式
わしき,和式,わしき,日式,kanji,539,right,15,和式
きょじゅう,居住,きょじゅう,居住,kanji,540,left,03,居住
あじわい,味わい,あじわい,風味、滋味；趣味,kanji,541,left,01,味わい
あっさり,あっさり,あっさり,清淡；乾脆；簡樸,hiragana,541,left,02,あっさり
あまくち,甘口,あまくち,甜味；寬鬆、不嚴厲,kanji,541,left,03,甘口
あわせ,合わせ,あわせ,組合、配合；會面,kanji,541,left,04,合わせ
えんぶん,塩分,えんぶん,鹽分,kanji,541,left,05,塩分
かけ,掛け,かけ,賭注；做到一半,kanji,541,right,0e,掛け
かみきる,噛み切る,かみきる,咬斷、咬破,kanji,541,right,97,噛み切る
しゅしょく,主食,しゅしょく,主食,kanji,542,left,01,主食
ていしょく,定食,ていしょく,套餐,kanji,542,left,02,定食
なまぐさい,生臭い,なまぐさい,腥味、血腥味；俗氣,kanji,542,left,03,生臭い
なめる,舐める,なめる,舔；輕視；嘗到苦頭,kanji,542,left,14,舐める
みずみずしい,瑞々しい,みずみずしい,水嫩、新鮮,kanji,542,right,01,瑞々しい
めす,召す,めす,召見；吃喝穿著的尊敬語,kanji,543,left,23,召す
うめぼし,梅干し,うめぼし,梅乾、醃梅,kanji,543,left,01,梅干し
おせちりょうり,お節料理,おせちりょうり,日式年菜,kanji,543,left,02,お節料理
カクテル,カクテル,かくてる,雞尾酒；混合物,katakana,543,left,04,カクテル
かしら,頭,かしら,頭、首領、頂端,kanji,543,left,05,頭
ゼリー,ゼリー,ぜりい,果凍,katakana,543,right,07,ゼリー
ぞうに,雑煮,ぞうに,雜煮、日式年糕湯,kanji,543,right,09,雑煮
そえる,添える,そえる,添加、附上；陪伴,kanji,543,right,,添える
ねつりょう,熱量,ねつりょう,熱量；熱情,kanji,544,left,02,熱量
はいきゅう,配給,はいきゅう,配給、定量供應,kanji,544,left,03,配給
はごたえ,歯応え,はごたえ,口感、嚼勁,kanji,544,left,44,歯応え
はちみつ,蜂蜜,はちみつ,蜂蜜,kanji,544,left,05,蜂蜜
ふんまつ,粉末,ふんまつ,粉末,kanji,544,left,07,粉末
うでまえ,腕前,うでまえ,本事、技術,kanji,545,left,02,腕前
かきまわす,かき回す,かきまわす,攪拌；攪亂,kanji,545,left,03,かき回す
きれめ,切れ目,きれめ,間斷、裂縫；段落,kanji,545,left,04,切れ目
けむる,煙る,けむる,冒煙；朦朧,kanji,545,left,05,煙る
しあげ,仕上げ,しあげ,完成、收尾；最後加工,kanji,545,right,07,仕上げ
したあじ,下味,したあじ,預先調味、底味,kanji,545,right,0e,下味
せいほう,製法,せいほう,製法,kanji,545,right,01,製法
だいよう,代用,だいよう,代用,kanji,545,right,12,代用
ちょうり,調理,ちょうり,烹調、料理,kanji,546,left,03,調理
ちょうわ,調和,ちょうわ,調和、協調,kanji,546,left,04,調和
デコレーション,デコレーション,でこれえしょん,裝飾、蛋糕裝飾,katakana,546,left,04,デコレーション
ねっとう,熱湯,ねっとう,熱水、開水,kanji,546,left,07,熱湯
いしょう,衣装,いしょう,衣裝、服裝；戲服,kanji,547,left,01,衣装
いるい,衣類,いるい,衣物,kanji,547,left,03,衣類
おりもの,織物,おりもの,織品,kanji,547,left,04,織物
サイズ,サイズ,さいず,尺寸、大小,katakana,547,left,05,サイズ
しける,湿気る,しける,受潮,kanji,547,right,07,湿気る
ジャンパー,ジャンパー,じゃんぱあ,夾克、短外套,katakana,547,right,09,ジャンパー
スラックス,スラックス,すらっくす,西裝褲、長褲,katakana,547,right,10,スラックス
そろい,揃い,そろい,一套、全套；齊全,kanji,547,right,01,揃い
だぶだぶ,だぶだぶ,だぶだぶ,太大不合身；滿溢,hiragana,548,left,13,だぶだぶ
たるみ,たるみ,たるみ,鬆弛、鬆懈,hiragana,548,left,14,たるみ
ハイネック,ハイネック,はいねっく,高領,katakana,548,left,15,high-necked
きかざる,着飾る,きかざる,盛裝、打扮,kanji,549,left,00,着飾る
キャップ,キャップ,きゃっぷ,帽子；蓋子,katakana,549,left,02,キャップ
くびかざり,首飾り,くびかざり,項鍊,kanji,549,left,03,首飾り
ジーパン,ジーパン,じいぱん,牛仔褲,katakana,549,left,04,ジーパン
ねじれる,ねじれる,ねじれる,扭曲、歪斜；彆扭,hiragana,549,left,96,ねじれる
はげる,剥げる,はげる,剝落、褪色,kanji,549,right,0m,剥げる
ブーツ,ブーツ,ぶうつ,靴子、長靴,katakana,549,right,09,ブーツ
ぶかぶか,ぶかぶか,ぶかぶか,太大不合身,hiragana,549,right,10,ぶかぶか
ほどける,解ける,ほどける,解開、鬆開,kanji,549,right,11,解ける
ゆるめる,緩める,ゆるめる,放鬆、鬆開；放慢,kanji,549,right,12,緩める
あおむけ,仰向け,あおむけ,仰面、面朝上,kanji,550,left,00,仰向け
くぐる,潜る,くぐる,穿過；潛入、潛水,kanji,551,left,11,潜る
こがら,小柄,こがら,身材嬌小；小花樣,kanji,551,left,13,小柄
じんたい,人体,じんたい,人體、人的身體,kanji,551,left,14,人体
スリーサイズ,スリーサイズ,すりいさいず,三圍,katakana,551,left,15,スリーサイズ
たいかく,体格,たいかく,體格,kanji,551,left,16,体格
だっしゅつ,脱出,だっしゅつ,脫逃、逃出,kanji,551,right,07,脱出
つかる,浸かる,つかる,浸泡、泡入,kanji,551,right,09,浸かる
つやつや,つやつや,つやつや,有光澤、亮晶晶,hiragana,551,right,19,つやつや
なまみ,生身,なまみ,活生生的身體、血肉之軀,kanji,551,right,23,生身
にくたい,肉体,にくたい,肉體、身體,kanji,552,left,04,肉体
ひやけ,日焼け,ひやけ,曬傷、曬黑,kanji,552,left,02,日焼け
ふるわす,震わす,ふるわす,使顫抖、使震動,kanji,552,left,02,震わす
ふれあう,触れ合う,ふれあう,接觸、互相碰觸,kanji,552,left,03,触れ合う
いちもく,一目,いちもく,一眼、看一眼,kanji,553,left,03,一目
いっけん,一見,いっけん,乍看、一看,kanji,553,left,04,一見
うつむく,俯く,うつむく,低頭,kanji,553,left,05,俯く
かおつき,顔付き,かおつき,表情、神情,kanji,553,left,06,顔付き
かたむける,傾ける,かたむける,使傾斜；傾注,kanji,553,right,07,傾ける
がんきゅう,眼球,がんきゅう,眼球,kanji,553,right,08,眼球
くっきり,くっきり,くっきり,清楚、鮮明,hiragana,553,right,00,くっきり
コンタクト,コンタクト,こんたくと,隱形眼鏡；聯繫,katakana,553,right,11,コンタクト
だんりょく,弾力,だんりょく,彈性、彈力,kanji,554,left,07,弾力
ちょうかく,聴覚,ちょうかく,聽覺,kanji,554,left,09,聴覚
つば,唾,つば,唾液、口水,kanji,554,right,00,唾
つぶやき,呟き,つぶやき,低語、嘟囔,kanji,554,right,01,呟き
つぶやく,呟く,つぶやく,喃喃自語、嘟囔,kanji,554,right,22,呟く
つぶら,つぶら,つぶら,圓滾可愛,hiragana,554,right,23,つぶら
つぶる,瞑る,つぶる,閉眼；默許,kanji,554,right,24,瞑る
できもの,でき物,できもの,腫包、疙瘩,kanji,555,left,25,でき物
なめらか,滑らか,なめらか,光滑、流暢,kanji,555,left,26,滑らか
にきび,にきび,にきび,粉刺、青春痘,hiragana,555,left,27,にきび
はつみみ,初耳,はつみみ,初次聽說,kanji,555,left,28,初耳
はり,張り,はり,張力、彈性；幹勁,kanji,555,left,29,張り
ひといき,一息,ひといき,一口氣；喘口氣,kanji,555,left,30,一息
ほっぺた,頬っぺた,ほっぺた,臉頰,kanji,555,right,31,頬っぺた
まばたき・またたき,瞬き,まばたき・またたき,眨眼,kanji,555,right,34,瞬き
まゆ,眉,まゆ,眉毛、眼眉,kanji,555,right,35,眉
みとどける,見届ける,みとどける,看到最後、確認,kanji,555,right,36,見届ける
みのがす,見逃す,みのがす,錯過；放過,kanji,555,right,07,見逃す
みはらし,見晴らし,みはらし,視野、眺望,kanji,556,left,38,見晴らし
みわたす,見渡す,みわたす,放眼望去、環視,kanji,556,left,03,見渡す
めつき,目付き,めつき,眼神,kanji,556,left,40,目付き
あゆみ,歩み,あゆみ,步伐；進展、歷程,kanji,556,right,01,歩み
あゆむ,歩む,あゆむ,行走；走過、經歷,kanji,556,right,02,歩む
おしこむ,押し込む,おしこむ,塞入；闖入,kanji,556,right,03,押し込む
おてあげ,お手上げ,おてあげ,束手無策、毫無辦法、沒輒,kanji,556,right,04,お手上げ
かけあし,駆け足,かけあし,快跑；匆忙,kanji,556,right,05,駆け足
しのびよる,忍び寄る,しのびよる,悄悄逼近,kanji,557,left,07,忍び寄る
しもん,指紋,しもん,指紋,kanji,557,left,08,指紋
ジャンプ,ジャンプ,じゃんぷ,跳躍；暴漲,katakana,557,left,09,ジャンプ
しょじ,所持,しょじ,所持、所有、攜帶,kanji,557,left,10,所持
たちさる,立ち去る,たちさる,走開、離去,kanji,557,left,11,立ち去る
たばねる,束ねる,たばねる,束起；統率、管理,kanji,557,left,12,束ねる
てすう,手数,てすう,麻煩、費事,kanji,557,right,16,手数
てはず,手筈,てはず,事前安排、準備程序,kanji,557,right,07,手筈
とほ,徒歩,とほ,步行,kanji,557,right,01,徒歩
はたく,はたく,はたく,拍打；花光,hiragana,558,left,20,はたく
はだし,裸足,はだし,赤腳,kanji,558,left,21,裸足
ひっかく,引っ掻く,ひっかく,抓、搔,kanji,558,left,22,引っ掻く
ほうりこむ,放り込む,ほうりこむ,丟入、扔進,kanji,558,left,24,放り込む
ゆびさす,指差す,ゆびさす,指向,kanji,558,right,06,指差す
かんじん,肝心・肝腎,かんじん,重要、關鍵,kanji,558,right,01,肝心・肝腎
こつ,骨,こつ,骨頭；遺骨；訣竅,kanji,558,right,03,骨
ないぞう,内臓,ないぞう,內臟,kanji,559,left,06,内臓
はれつ,破裂,はれつ,破裂,kanji,559,right,09,破裂
いかす,生かす,いかす,活用；讓活著,kanji,560,left,00,生かす
うんめい,運命,うんめい,命運,kanji,560,left,04,運命
おないどし,同い年,おないどし,同齡、同年,kanji,560,right,06,同い年
しゅくめい,宿命,しゅくめい,宿命、注定的命運,kanji,560,right,07,宿命
しゆつしょう・しゅっせい,出生,しゆつしょう・しゅっせい,出生、誕生、出生地,kanji,560,right,09,出生
セックス,セックス,せっくす,性；性交,katakana,561,left,01,セックス
ちぢまる,縮まる,ちぢまる,縮短、縮小,kanji,561,left,12,縮まる
はんしょく,繁殖,はんしょく,繁殖、滋生,kanji,561,left,14,繁殖
あんぴ,安否,あんぴ,安危、平安與否,kanji,561,left,01,安否
いしきふめい,意識不明,いしきふめい,失去意識、意識不清,kanji,561,left,02,意識不明
おとろえる,衰える,おとろえる,衰退、衰弱,kanji,561,right,04,衰える
くちる,朽ちる,くちる,腐朽、腐爛；默默無聞地結束一生,kanji,561,right,0e,朽ちる
けんぜん,健全,けんぜん,健康、健全,kanji,561,right,07,健全
たえる,絶える,たえる,斷絕、停止；消失,kanji,562,left,13,絶える
とだえる,途絶える,とだえる,中斷、斷絕,kanji,562,left,04,途絶える
としごろ,年頃,としごろ,年紀、適齡,kanji,562,right,05,年頃
はてる,果てる,はてる,終結；死去；極度,kanji,562,right,06,果てる
ぼける,惚ける,ぼける,老糊塗；模糊,kanji,562,right,07,惚ける
きがい,危害,きがい,危害,kanji,562,right,01,危害
ししゅんき,思春期,ししゅんき,青春期,kanji,563,left,02,思春期
すこやか,健やか,すこやか,健康、健全,kanji,563,left,03,健やか
せいいく,生育・成育,せいいく,生長、發育；培育,kanji,563,left,04,生育・成育
せいしゅん,青春,せいしゅん,青春、青春時期,kanji,563,left,05,青春
せいじゅく,成熟,せいじゅく,成熟,kanji,563,left,06,成熟
たっしゃ,達者,たっしゃ,精通；健康；能說會道,kanji,563,right,40,達者
たもつ,保つ,たもつ,保持、維持,kanji,563,right,01,保つ
ねぐるしい,寝苦しい,ねぐるしい,睡不安穩、難以入睡,kanji,563,right,13,寝苦しい
ほきゅう,補給,ほきゅう,補給、補充,kanji,564,left,44,補給
みだれ,乱れ,みだれ,混亂、紊亂；凌亂,kanji,564,left,15,乱れ
うたたね,うたた寝,うたたね,打盹、小睡,kanji,564,left,01,うたた寝
かろう,過労,かろう,過度勞累、過勞,kanji,564,left,03,過労
くうふく,空腹,くうふく,空腹、肚子餓,kanji,564,right,04,空腹
ぐったり,ぐったり,ぐったり,精疲力盡、癱軟,hiragana,564,right,05,ぐったり
こうしょきょうふしょう,高所恐怖症,こうしょきょうふしょう,懼高症,kanji,564,right,06,高所恐怖症
ぜんかい,全快,ぜんかい,痊癒、完全康復,kanji,564,right,07,全快
ぞうしん,増進,ぞうしん,增進、提升,kanji,564,right,08,増進
ちっそく,窒息,ちっそく,窒息,kanji,565,left,11,窒息
デリケート,デリケート,でりけえと,纖細、敏感；微妙,katakana,565,left,12,デリケート
ひとねむり,一眠り,ひとねむり,小睡一下、睡一會兒,kanji,565,left,13,一眠り
ひんじゃく,貧弱,ひんじゃく,貧弱、單薄；不足,kanji,565,left,15,貧弱
ふしん,不振,ふしん,不振、表現不佳；低迷,kanji,565,left,16,不振
ふちょう,不調,ふちょう,狀況不佳、不順利,kanji,565,right,17,不調
べんぴ,便秘,べんぴ,便秘,kanji,565,right,,便秘
まんせい,慢性,まんせい,慢性；長期拖延,kanji,565,right,20,慢性
むせる,むせる,むせる,嗆到、噎住,hiragana,566,left,02,むせる
やすめる,休める,やすめる,使休息、讓休息；停用,kanji,566,left,02,休める
がんがん,がんがん,がんがん,砰砰作響；頭痛劇烈；猛烈地,hiragana,566,left,02,がんがん
さする,擦る,さする,撫摸、摩擦,kanji,566,left,03,擦る
すれる,擦れる,すれる,摩擦、磨損；變世故,kanji,566,right,05,擦れる
だぼく,打撲,だぼく,撞傷、挫傷,kanji,566,right,06,打撲
つねる,つねる,つねる,掐、擰,hiragana,566,right,07,つねる
とりのぞく,取り除く,とりのぞく,去除、清除,kanji,566,right,08,取り除く
やわらげる,和らげる,やわらげる,緩和、減輕,kanji,566,right,00,和らげる
あっぱく,圧迫,あっぱく,壓迫、壓力,kanji,567,left,02,圧迫
アトピーせいひふえん,アトピー性皮膚炎,あとぴいせいひふえん,異位性皮膚炎,kanji,567,left,03,アトピー性皮膚炎
アフターケア,アフターケア,あふたあけあ,後續照護、後續保養,katakana,567,left,04,アフターケア
アルツハイマーびょう,アルツハイマー病,あるつはいまあびょう,阿茲海默症,kanji,567,left,05,アルツハイマー病
あんせい,安静,あんせい,靜養、安靜休息,kanji,567,left,06,安静
がいする,害する,がいする,損害、傷害；危害,kanji,567,right,0m,害する
きかんしえん,気管支炎,きかんしえん,支氣管炎,kanji,567,right,12,気管支炎
きんがん,近眼,きんがん,近視,kanji,568,left,04,近眼
きん,菌,きん,細菌、病菌；菌類,kanji,568,left,07,菌
けっかく,結核,けっかく,結核,kanji,568,left,,結核
げっそり,げっそり,げっそり,明顯消瘦；沮喪、失望,hiragana,568,left,09,げっそり
けつぼう,欠乏,けつぼう,缺乏、不足,kanji,568,right,00,欠乏
げんかく,幻覚,げんかく,幻覺,kanji,568,right,02,幻覚
こうせいぶっしつ,抗生物質,こうせいぶっしつ,抗生素,kanji,568,right,03,抗生物質
こじらせる,こじらせる,こじらせる,使惡化、使複雜,hiragana,568,right,04,こじらせる
さいはつ,再発,さいはつ,復發、再次發生,kanji,569,left,26,再発
さいぼう,細胞,さいぼう,細胞；基層組織,kanji,569,left,27,細胞
さむけ,寒気,さむけ,發冷、寒意；厭惡感,kanji,569,left,28,寒気
しっしん,湿疹,しっしん,濕疹,kanji,569,left,30,湿疹
しっちょう,失調,しっちょう,失調、失衡,kanji,569,left,31,失調
しゃぜつ,謝絶,しゃぜつ,婉拒、謝絕,kanji,569,right,32,謝絶
じんましん,蕁麻疹,じんましん,蕁麻疹,kanji,569,right,37,蕁麻疹
せんてんてき,先天的,せんてんてき,先天的、與生俱來的,kanji,570,left,40,先天的
だっすい,脱水,だっすい,脫水,kanji,570,left,41,脱水
ちゅうどく,中毒,ちゅうどく,中毒；上癮,kanji,570,left,42,中毒
つきそう,付き添う,つきそう,陪同、陪伴照料,kanji,570,left,43,付き添う
つきる,尽きる,つきる,用盡、耗盡；到頭,kanji,570,left,44,尽きる
ておくれ,手遅れ,ておくれ,太遲、為時已晚,kanji,570,right,06,手遅れ
どわすれ,度忘れ,どわすれ,一時想不起來、突然忘記,kanji,570,right,07,度忘れ
ねっちゅうしょう,熱中症,ねっちゅうしょう,中暑、熱傷害,kanji,570,right,49,熱中症
ねんざ,捻挫,ねんざ,扭傷,kanji,570,right,50,捻挫
ノイローゼ,ノイローゼ,のいろおぜ,神經衰弱、精神焦慮,katakana,571,left,51,ノイローゼ
はいえん,肺炎,はいえん,肺炎,kanji,571,left,52,肺炎
ばてる,ばてる,ばてる,累垮、精疲力盡,hiragana,571,left,54,ばてる
はれる,腫れる,はれる,腫脹、腫起來,kanji,571,left,55,腫れる
ひふえん,皮膚炎,ひふえん,皮膚炎,kanji,571,left,56,皮膚炎
ほよう,保養,ほよう,療養、調養；保養,kanji,571,right,09,保養
めんえき,免疫,めんえき,免疫；習以為常,kanji,571,right,62,免疫
やまい,病,やまい,疾病；壞習慣、毛病,kanji,571,right,63,病
よわる,弱る,よわる,衰弱、變弱；困擾,kanji,572,left,04,弱る
りょうこう,良好,りょうこう,良好、狀態好,kanji,572,left,66,良好
レントゲン,レントゲン,れんとげん,X光、X光檢查,katakana,572,left,67,レントゲン
いびき,いびき,いびき,鼾聲,hiragana,572,left,02,いびき
しにょう,屎尿,しにょう,糞尿,kanji,572,right,,屎尿
ひだりきき,左利き,ひだりきき,左撇子；愛喝酒的人,kanji,573,left,09,左利き
ひんけつ,貧血,ひんけつ,貧血,kanji,573,left,10,貧血
みゃく,脈,みゃく,脈搏；脈絡；山脈、礦脈,kanji,573,right,11,脈
あかのたにん,赤の他人,あかのたにん,完全陌生人、毫無關係的人,kanji,574,left,01,赤の他人
あがり,上がり,あがり,完成、結束；收入；雨停,kanji,574,left,02,上がり
うごき,動き,うごき,動作、動向；變化,kanji,574,left,03,動き
てきせい,適性,てきせい,適性、資質,kanji,575,left,11,適性
てんさい,天才,てんさい,天才,kanji,575,left,12,天才
ひとかげ,人影,ひとかげ,人影、人跡,kanji,575,left,13,人影
ひとけ,人気,ひとけ,人的氣息、人跡,kanji,575,left,14,人気
まるめる,丸める,まるめる,揉圓、捲起；籠絡,kanji,575,left,15,丸める
みじゅく,未熟,みじゅく,未熟、不成熟；不熟練,kanji,575,left,16,未熟
みのうえ,身の上,みのうえ,身世、境遇,kanji,575,right,07,身の上
みもと,身元,みもと,身分、來歷,kanji,575,right,18,身元
むのう,無能,むのう,無能、沒能力,kanji,575,right,19,無能
わるもの,悪者,わるもの,壞人、惡人,kanji,575,right,21,悪者
いせい,異性,いせい,異性；不同性質,kanji,575,right,01,異性
しんし,紳士,しんし,紳士；男士,kanji,576,left,02,紳士
ミセス,ミセス,みせす,夫人、太太；已婚女性,katakana,576,left,05,ミセス
ヤング,ヤング,やんぐ,年輕人；年輕的,katakana,576,left,06,ヤング
いちいん,一員,いちいん,一員、成員,kanji,576,right,01,一員
いみん,移民,いみん,移民,kanji,576,right,02,移民
エリート,エリート,えりいと,菁英,katakana,576,right,03,エリート
がくし,学士,がくし,學士；學者,kanji,576,right,01,学士
ぎょうしゃ,業者,ぎょうしゃ,業者、商家；承包商,kanji,577,left,07,業者
くろうと,玄人,くろうと,內行、專家,kanji,577,left,08,玄人
ゲスト,ゲスト,げすと,來賓、嘉賓,katakana,577,left,09,ゲスト
さむらい,侍,さむらい,武士；有骨氣的人,kanji,577,left,11,侍
サンタクロース,サンタクロース,さんたくろおす,聖誕老人,katakana,577,left,12,サンタクロース
じつぎょうか,実業家,じつぎょうか,企業家、實業家,kanji,577,left,13,実業家
じぬし,地主,じぬし,地主、土地所有人,kanji,577,right,14,地主
じょし,女史,じょし,女士、女史,kanji,578,left,02,女史
しんいり,新入り,しんいり,新人、新成員,kanji,578,left,02,新入り
しんじゃ,信者,しんじゃ,信徒、信仰者,kanji,578,left,25,信者
タイピスト,タイピスト,たいぴすと,打字員,katakana,579,left,32,typist
たんしん,単身,たんしん,單身、隻身,kanji,579,left,33,単身
ちょめい,著名,ちょめい,著名、有名,kanji,579,left,34,著名
とうにん,当人,とうにん,本人、當事人,kanji,579,left,36,当人
どくしゃ,読者,どくしゃ,讀者,kanji,579,left,37,読者
とのさま,殿様,とのさま,主君、老爺；大爺作風的人,kanji,579,left,38,殿様
ドライバー,ドライバー,どらいばあ,司機、駕駛；螺絲起子,katakana,579,right,39,ドライバー
なこうど,仲人,なこうど,媒人,kanji,579,right,40,仲人
ぬし,主,ぬし,主人、物主；某處的老手,kanji,579,right,41,主
ばんにん,万人,ばんにん,所有人、大眾,kanji,579,right,01,万人
ファン,ファン,ふぁん,粉絲、愛好者；風扇,katakana,579,right,44,ファン
ペーパードライバー,ペーパードライバー,ぺえぱあどらいばあ,有駕照但很少開車的人,katakana,580,left,,ペーパードライバー
へいし,兵士,へいし,士兵,kanji,580,left,47,兵士
ぼくし,牧師,ぼくし,牧師,kanji,580,left,48,牧師
ほりょ,捕虜,ほりょ,俘虜、戰俘,kanji,580,left,49,捕虜
マニア,マニア,まにあ,狂熱愛好者、迷,katakana,580,left,50,マニア
ぐんしゅう,群衆,ぐんしゅう,群眾、人群,kanji,581,left,04,群衆
げきだん,劇団,げきだん,劇團,kanji,581,left,0e,劇団
けっせい,結成,けっせい,組成、成立,kanji,581,left,07,結成
げんじゅうみん,原住民,げんじゅうみん,原住民,kanji,581,left,08,原住民
しょくん,諸君,しょくん,各位、諸位,kanji,581,left,10,諸君
