reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
うち,内,うち,裡面、之內,kanji,71,left,04,内
まわり,周り,まわり,周圍、附近,kanji,71,right,06,周り
てもと,手元,てもと,手邊、身邊,kanji,71,right,00,手元
こっち,此方,こっち,這邊、這個,kanji,72,left,11,此方
どっち,何方,どっち,哪邊、哪一個,kanji,72,left,12,何方
とおく,遠く,とおく,遠處,kanji,72,left,43,遠く
こくない,国内,こくない,國內,kanji,72,right,05,国内
むら,村,むら,村莊,kanji,72,right,05,村
アジア,アジア,あじあ,亞洲,katakana,73,left,13,Asia
アフリカ,アフリカ,あふりか,非洲,katakana,73,left,14,Africa
アメリカ,アメリカ,あめりか,美國、美洲,katakana,73,right,15,America
けん,県,けん,縣,kanji,73,right,06,県
このあいだ,この間,このあいだ,前些日子、最近那次,kanji,74,left,03,この間
こんや,今夜,こんや,今晚,kanji,74,right,,今夜
すぐに,直ぐに,すぐに,立刻、馬上,kanji,75,right,00,直ぐに
あさねぼう,朝寝坊,あさねぼう,睡過頭,kanji,76,left,09,朝寝坊
このごろ,此の頃,このごろ,最近、這陣子,kanji,76,right,03,此の頃
いってまいります,行って参ります,いってまいります,我出門了,kanji,77,left,01,行って参ります
いってらっしゃい,いってらっしゃい,いってらっしゃい,慢走、路上小心,hiragana,77,left,02,いってらっしゃい
よくいらっしゃいました,よくいらっしゃいました,よくいらっしゃいました,歡迎光臨、歡迎來訪,hiragana,77,left,04,よくいらっしゃいました
おまたせしました,お待たせしました,おまたせしました,讓您久等了,kanji,77,right,09,お待たせしました
それはいけませんね,それはいけませんね,それはいけませんね,那可不太好,hiragana,78,left,11,それはいけませんね
おこさん,お子さん,おこさん,您的孩子,kanji,78,left,01,お子さん
むすこさん,息子さん,むすこさん,您的兒子,kanji,78,left,92,息子さん
むすめさん,娘さん,むすめさん,您的女兒,kanji,78,left,03,娘さん
こうこうせい,高校生,こうこうせい,高中生,kanji,78,right,05,高校生
おかねもち,お金持ち,おかねもち,有錢人,kanji,78,right,,お金持ち
かれ,彼,かれ,他、男朋友,kanji,79,right,04,彼
かれし,彼氏,かれし,男朋友,kanji,79,right,08,彼氏
あかちゃん,赤ちゃん,あかちゃん,嬰兒、寶寶,kanji,80,right,,赤ちゃん
こそだて,子育て,こそだて,育兒,kanji,81,left,12,子育て
せわ,世話,せわ,照顧、關照,kanji,82,left,03,世話
かっこう,格好,かっこう,樣子、打扮,kanji,83,left,01,格好
くび,首,くび,脖子,kanji,83,left,05,首
せなか,背中,せなか,背部、背後,kanji,83,right,07,背中
おなら,おなら,おなら,放屁,hiragana,84,left,12,おなら
いきる,生きる,いきる,活著、生存,kanji,84,left,01,生きる
なくなる,亡くなる,なくなる,去世、消失,kanji,84,left,02,亡くなる
ねむる,眠る,ねむる,睡覺,kanji,84,right,05,眠る
ダイエット,ダイエット,だいえっと,減肥、節食,katakana,84,right,,diet
かふんしょう,花粉症,かふんしょう,花粉症,kanji,85,left,05,花粉症
ヘルパー,ヘルパー,へるぱあ,照護員、幫手,katakana,86,left,15,helper
おいしゃさん,お医者さん,おいしゃさん,醫生,kanji,86,left,16,お医者さん
てしまう,てしまう,てしまう,做完、糟糕地做了,hiragana,86,left,17,てしまう
うんどう,運動,うんどう,運動,kanji,86,right,01,運動
テニスコート,テニスコート,てにすこおと,網球場,katakana,86,right,03,tennis court
しあい,試合,しあい,比賽,kanji,87,left,10,試合
くうき,空気,くうき,空氣,kanji,90,left,01,空気
ガソリン,ガソリン,がそりん,汽油,katakana,90,left,05,gasoline
ガラス,ガラス,がらす,玻璃,katakana,90,left,00,(荷) glas
ナイロン,ナイロン,ないろん,尼龍,katakana,90,right,,nylon
あじみ,味見,あじみ,試味道,kanji,91,right,08,味見
おおさじ,大匙,おおさじ,大匙,kanji,92,left,12,大匙
こさじ,小匙,こさじ,小匙,kanji,92,left,03,小匙
コーヒーカップ,コーヒーカップ,こおひいかっぷ,咖啡杯,katakana,92,left,14,coffee cup
ラップ,ラップ,らっぷ,保鮮膜,katakana,92,left,15,wrap
ゆうはん,夕飯,ゆうはん,晚餐,kanji,92,left,00,夕飯
ジャム,ジャム,じゃむ,果醬,katakana,93,left,11,jam
がいしょく,外食,がいしょく,外食,kanji,93,left,01,外食
きつえんせき,喫煙席,きつえんせき,吸菸座,kanji,93,right,03,喫煙席
きんえんせき,禁煙席,きんえんせき,禁菸座,kanji,93,right,04,禁煙席
えんかい,宴会,えんかい,宴會,kanji,93,right,06,宴会
かんげいかい,歓迎会,かんげいかい,歡迎會,kanji,93,right,08,歓迎会
そうべつかい,送別会,そうべつかい,送別會,kanji,94,left,09,送別会
のみほうだい,飲み放題,のみほうだい,喝到飽,kanji,94,left,01,飲み放題
おつまみ,おつまみ,おつまみ,下酒菜、小菜,hiragana,94,left,12,おつまみ
サラダ,サラダ,さらだ,沙拉,katakana,94,right,,salad
ステーキ,ステーキ,すてえき,牛排,katakana,94,right,,steak
だいきらい,大嫌い,だいきらい,非常討厭,kanji,94,right,,大嫌い
かわりに,代わりに,かわりに,代替、作為交換,kanji,94,right,,代わりに
レジ,レジ,れじ,收銀台,katakana,94,right,,register 之略
きもの,着物,きもの,和服,kanji,95,left,01,着物
したぎ,下着,したぎ,內衣,kanji,95,left,02,下着
イヤリング,イヤリング,いやりんぐ,耳環,katakana,95,left,04,earring
サンダル,サンダル,さんだる,涼鞋,katakana,95,right,08,sandal
アクセサリー,アクセサリー,あくせさりい,飾品、配件,katakana,96,left,13,accessory
スーツ,スーツ,すうつ,西裝、套裝,katakana,96,left,14,suit
ソフト,ソフト,そふと,軟體,katakana,96,left,15,soft
ハンドバッグ,ハンドバッグ,はんどばっぐ,手提包,katakana,96,left,16,handbag
おくじょう,屋上,おくじょう,屋頂,kanji,97,left,01,屋上
おうせつま,応接間,おうせつま,會客室,kanji,97,left,04,応接間
むかう,向かう,むかう,朝向、前往,kanji,98,left,12,向かう
ビル,ビル,びる,大樓,katakana,98,left,02,building 之略
エスカレーター,エスカレーター,えすかれえたあ,電扶梯,katakana,98,left,03,escalator
せいかつ,生活,せいかつ,生活,kanji,99,left,01,生活
なまごみ,生ごみ,なまごみ,廚餘,kanji,99,left,12,生ごみ
もえるごみ,燃えるごみ,もえるごみ,可燃垃圾,kanji,99,left,13,燃えるごみ
にかいだて,二階建て,にかいだて,兩層樓建築,kanji,99,left,16,二階建て
スーツケース,スーツケース,すうつけえす,行李箱,katakana,99,right,03,suitcase
ガスコンロ,ガスコンロ,がすこんろ,瓦斯爐,katakana,100,left,07,(和荷) gas+ 規炉
かんそうき,乾燥機,かんそうき,烘乾機,kanji,100,left,08,乾燥機
コインランドリー,コインランドリー,こいんらんどりい,投幣式自助洗衣店,katakana,100,left,09,coin- operated laundry
ステレオ,ステレオ,すてれお,立體音響,katakana,100,left,10,stereo
けいたいでんわ,携帯電話,けいたいでんわ,手機,kanji,100,left,11,携帯電話
ベル,ベル,べる,鈴、鈴聲,katakana,100,left,12,bell
タイプ,タイプ,たいぷ,類型、打字,katakana,100,right,,type
どうぐ,道具,どうぐ,工具、道具,kanji,100,right,,道具
じんじゃ,神社,じんじゃ,神社,kanji,102,right,,神社
てら,寺,てら,寺廟,kanji,102,right,,寺
どうぶつえん,動物園,どうぶつえん,動物園,kanji,102,right,,動物園
オートバイ,オートバイ,おおとばい,機車,katakana,103,right,02,auto bicycle
とっきゅう,特急,とっきゅう,特急列車,kanji,103,right,06,特急
ガソリンスタンド,ガソリンスタンド,がそりんすたんど,加油站,katakana,104,left,08,(和製英語) !【 gasoline+stand
こうじちゅう,工事中,こうじちゅう,施工中,kanji,104,left,42,工事中
ばんせん,番線,ばんせん,月台線、乘車線,kanji,104,right,,番線
いっぽうつうこう,一方通行,いっぽうつうこう,單行道,kanji,104,right,,一方通行
うちがわ,内側,うちがわ,內側,kanji,104,right,,内側
そとがわ,外側,そとがわ,外側,kanji,104,right,,外側
ちかみち,近道,ちかみち,近路、捷徑,kanji,105,left,04,近道
うんてんせき,運転席,うんてんせき,駕駛座,kanji,105,left,07,運転席
じゆうせき,自由席,じゆうせき,自由座,kanji,105,left,09,自由席
つうこうどめ,通行止め,つうこうどめ,禁止通行,kanji,105,left,10,通行止め
しゅうでん,終電,しゅうでん,末班電車,kanji,105,right,12,終電
しんごうむし,信号無視,しんごうむし,闖紅燈,kanji,105,right,13,信号無視
ちゅうしゃいはん,駐車違反,ちゅうしゃいはん,違規停車,kanji,105,right,14,駐車違反
とおる,通る,とおる,通過、經過,kanji,105,right,02,通る
あそび,遊び,あそび,玩樂、遊戲,kanji,107,left,01,遊び
ことり,小鳥,ことり,小鳥,kanji,107,left,03,小鳥
つる,釣る,つる,釣魚,kanji,107,left,05,釣る
たのしむ,楽しむ,たのしむ,享受、期待,kanji,107,right,10,楽しむ
ばんぐみ,番組,ばんぐみ,節目,kanji,108,left,02,番組
ピアノ,ピアノ,ぴあの,鋼琴,katakana,108,right,,piano
コンサート,コンサート,こんさあと,音樂會,katakana,108,right,,concert
おこなう,行う・行なう,おこなう,舉行、進行,kanji,109,left,03,行う・行なう
プレゼント,プレゼント,ぷれぜんと,禮物,katakana,109,right,06,プレゼント
げんごがく,言語学,げんごがく,語言學,kanji,110,right,07,言語学
けいざいがく,経済学,けいざいがく,經濟學,kanji,110,right,03,経済学
じてん,辞典,じてん,辭典,kanji,111,right,06,辞典
ひるやすみ,昼休み,ひるやすみ,午休,kanji,111,right,07,昼休み
レポート,レポート,れぽおと,報告,katakana,111,right,09,report
ぜんき,前期,ぜんき,前期、上學期,kanji,111,right,10,前期
こうき,後期,こうき,後期、下學期,kanji,111,right,11,後期
そつぎょうしき,卒業式,そつぎょうしき,畢業典禮,kanji,111,right,13,卒業式
えいかいわ,英会話,えいかいわ,英語會話,kanji,112,left,14,英会話
にゅうもんこうざ,入門講座,にゅうもんこうざ,入門課程,kanji,112,left,16,入門講座
ねむたい,眠たい,ねむたい,想睡的,kanji,112,right,,眠たい
しんぶんしゃ,新聞社,しんぶんしゃ,報社,kanji,113,right,10,新聞社
こうぎょう,工業,こうぎょう,工業,kanji,113,right,11,工業
じきゅう,時給,じきゅう,時薪,kanji,114,left,12,時給
