reading,writing,declaredNormalizedReading,zh,script,source_page,source_column,source_entry_no,source_writing
ざつおん,雑音,ざつおん,雜音、噪音,kanji,400,left,,雑音
じゅわき,受話器,じゅわき,聽筒,kanji,400,right,,受話器
ちょくつう,直通,ちょくつう,直達、中途不停、直通,kanji,400,right,,直通
つうしん,通信,つうしん,自才、通信、通音信、通訊、聯絡,kanji,400,right,,通信
つつみ,包み,つつみ,包袱、包裏,kanji,400,right,,包み
でんちゅう,電柱,でんちゅう,電線桿,kanji,401,left,11,電柱
でんば,電波,でんば,電波,kanji,401,left,12,電波
といあわせ,問い合わせ,といあわせ,詢問、打聽、查詢,kanji,401,left,13,問い合わせ
ないせん,内線,ないせん,内線、電話、内線分機,kanji,401,left,15,内線
ねんがじょう,年賀状,ねんがじょう,賀年卡,kanji,401,left,16,年賀状
はなしちゅう,話し中,はなしちゅう,通話中,kanji,401,left,17,話し中
おしらせ,お知らせ,おしらせ,全通知、訊息,kanji,401,right,02,お知らせ
ごらん,ご覧,ごらん,觀覽、親切的、請看、接,kanji,401,right,04,ご覧
ばしゅう,募集,ばしゅう,募集、任募,kanji,402,left,07,募集
ポスター,ポスター,ぽすたあ,海報、講,katakana,402,left,08,poster
かいせっ,解説,かいせっ,中新、解説群抜,kanji,402,left,,解説
こうひょう,公表,こうひょう,公表,kanji,402,right,,公表
さつえい,撮影,さつえい,包分、攝影、拍照、拍電影,kanji,402,right,,撮影
スピーチ,スピーチ,すぴいち,正式場合的、簡短演説、致詞,katakana,402,right,,speech
そうぞうしい,騒々しい,そうぞうしい,鬧的、喧器的、宣嚷的、社會上,kanji,402,right,,騒々しい
ろんそう,論争,ろんそう,爭論、爭辯、論戰,kanji,403,right,11,論争
およぎ,泳ぎ,およぎ,游泳,kanji,404,left,02,泳ぎ
からて,空手,からて,空手首,kanji,404,left,03,空手
かんとく,監督,かんとく,名-他,kanji,404,left,04,監督
こうせき,功績,こうせき,功績,kanji,404,right,05,功績
スケート,スケート,すけえと,冰鞋、冰刀、溜冰、滑冰,katakana,404,right,,skate
すもう,相撲,すもう,相撲,kanji,404,right,,相撲
てきど,適度,てきど,適度、適當的程度,kanji,404,right,,適度
もぐる,潜る,もぐる,潛入、水中、鑽進、藏入'躲入,kanji,405,left,12,潜る
ランニング,ランニング,らんにんぐ,人賽跑、跑步,katakana,405,left,13,running
アウト,アウト,あうと,外湯、出界、出局,katakana,405,left,01,out
おどりでる,躍り出る,おどりでる,躍出、突然出現,kanji,405,left,04,躍り出る
かいし,開始,かいし,自他、開始,kanji,405,right,05,開始
きょうぎ,競技,きょうぎ,競賽、體育比賽,kanji,405,right,08,競技
けいば,競馬,けいば,賽馬,kanji,405,right,10,競馬
さいちゅう,最中,さいちゅう,動作進行中、最頂點、活動中,kanji,406,left,13,最中
じゃくてん,弱点,じゃくてん,弱点,kanji,406,left,14,弱点
しゅうりょう,終了,しゅうりょう,人名目他、終了、結束、作完、期滿,kanji,406,left,05,終了
しょうはい,騰敗,しょうはい,勝負、勝敗、人,kanji,406,left,07,騰敗
スタンド,スタンド,すたんど,尾名、站立、台、托、架、檯燈、桌燈,katakana,406,right,09,stand
ぜんりょく,全力,ぜんりょく,全力,kanji,406,right,01,全力
たいかい,大会,たいかい,大會、全體會議,kanji,406,right,02,大会
チャンス,チャンス,ちゃんす,機會'、時機、良機,katakana,406,right,05,chance
にゅゆうじょう,入場,にゅゆうじょう,自和、入場,kanji,407,left,24,入場
にゅうじょうけん,入場券,にゅうじょうけん,門票、入場券,kanji,407,left,25,入場券
ねらう,狙う,ねらう,他五、看準、把,kanji,407,left,26,狙う
ひきわけ,引き分け,ひきわけ,比賽、平局、不分勝負,kanji,407,left,27,引き分け
へいかい,閉会,へいかい,閉幕、會議結束,kanji,407,left,28,閉会
めざす,目指す,めざす,指向、以,kanji,407,left,29,目指す
メンバー,メンバー,めんばあ,成員、一份子、體育、隊員,katakana,407,left,30,member
ゆうしょう,優勝,ゆうしょう,優勝,kanji,407,right,31,優勝
かいさん,解散,かいさん,自介、散開、解散、集合等、散人,kanji,407,right,01,解散
グラウンド,グラウンド,ぐらうんど,馬電動場、球場、廣場、操場,katakana,407,right,02,ground
ゴール,ゴール,ごおる,決勝同、終固、球門、多信,katakana,407,right,03,goal
ころがす,転がす,ころがす,滾動、轉動、開動、車、推進、韓責,kanji,408,left,04,転がす
サイン,サイン,さいん,簽名、署名、簽字、記號、暗號,katakana,408,left,05,sign
にげきる,逃げ切る,にげきる,成功地、逃跑,kanji,408,left,09,逃げ切る
のうぅ,能,のうぅ,名葉、能力、能、本領、功数、日,kanji,408,left,09,能
マラソン,マラソン,まらそん,馬拉松長跑,katakana,408,right,,marathon
かいすいよく,海水浴,かいすいよく,海水浴場,kanji,409,left,01,海水浴
かんしょう,鑑賞,かんしょう,鑑賞、欣賞,kanji,409,left,02,鑑賞
キャンプ,キャンプ,きゃんぷ,露管、野管、兵管、軍和営,katakana,409,left,03,camp
ごらく,娯楽,ごらく,娛樂、文娛,kanji,409,left,04,娯楽
とざん,登山,とざん,客-自分、登山、到山上寺廟修行,kanji,409,right,0e,登山
ぼうけん,冒険,ぼうけん,冒險,kanji,409,right,07,冒険
めぐる,巡る,めぐる,"全說人扔""交還、開生擴",kanji,409,right,0m,巡る
