level,reading,writing,page,column,entry_no,needs_review,review_reason
N2,しゅやく,主役,415,left,12,,
N2,ステージ,stage,415,left,13,,
N2,だい,題,415,left,15,1,duplicate_reading
N2,ダンス,dance,415,left,16,,
N2,びみょう,微妙,415,left,17,,
N2,プログラム,program,415,left,18,,
N2,まく,幕,415,right,19,,
N2,めいさく,名作,415,right,21,,
N2,ものがたり,物語,415,right,22,,
N2,いっしゅ,一種,416,left,00,,
N2,おのおの,各々,416,left,02,,
N2,きじゅん,基準,416,left,,,
N2,きゅうげき,急激,416,left,,,
N2,きゅうそく,急束,416,left,05,1,duplicate_reading
N2,くらい,位,416,right,,,
N2,ぐうすう,偶数,416,right,,,
N2,きわめる,極める,416,right,03,,
N2,しめる,占める,416,right,,1,duplicate_reading
N2,しょうしか,少子化,416,right,,,
N2,すう,数,417,left,11,,
N2,たいはん,大半,417,left,12,,
N2,だいぶぶん,大部分,417,left,13,,
N2,たっする,達する,417,left,14,,
N2,たんすう,単数,417,left,15,,
N2,ちょうか,超過,417,left,16,,
N2,とおり,通り,417,left,17,,
N2,なかば,半ば,417,right,48,,
N2,なし,無し,417,right,19,,
N2,なんびゃく,何百,417,right,20,,
N2,ひと,-,417,right,21,,
N2,ひとしい,等しい,417,right,22,,
N2,ひとすじ,一筋,417,right,23,,
N2,ひととおり,一通り,418,left,04,,
N2,ふくすう,複数,418,left,27,,
N2,ほぼ,略・粗,418,left,28,,
N2,まいすう,枚数,418,left,02,,
N2,まれ,稀,418,left,00,,
N2,メーター,meter,418,right,,,
N2,めやす,目安,418,right,,,
N2,もっとも,最も,418,right,,1,duplicate_reading
N2,やく,約,418,right,,1,duplicate_reading
N2,よび,予備,418,right,,,
N2,えんしゅう,円周,419,left,01,1,duplicate_reading
N2,かくりつ,確率,419,left,02,,
N2,かげん,加減,419,left,03,,
N2,かじょう,過剰,419,left,04,,
N2,くわわる,加わる,419,left,05,1,reading_auto_cleaned
N2,げきぞう,激増,419,left,06,,
N2,ごうけい,合計,419,right,07,,
N2,ぞうか,増加,419,right,0m,,
N2,ぞうげん,増減,419,right,09,,
