reason,level,reading,writing,zh,page,column,entry_no,needs_review
duplicate_existing_n1_reading,N1,たくましい,昨しい,身體結實、健壯的樣子、強壯、充,563,right,09,
duplicate_lower_or_base_reading,N1,ちち,乳,,563,right,12,
duplicate_existing_n1_reading,N1,かぶれる,かぶれる,由於漆、膏藥等的過敏與中毒而,564,left,02,
duplicate_existing_n1_reading,N1,だるい,だるい,倦怠、發懶,564,right,09,
duplicate_lower_or_base_reading,N1,ちくせき,蓄積,,565,left,10,
duplicate_lower_or_base_reading,N1,ひろう,疲労,,565,left,14,
needs_review,N1,おかむか,,,565,right,21,1
duplicate_lower_or_base_reading,N1,あっか,悪化,,567,left,01,
duplicate_lower_or_base_reading,N1,かいほう,介抱,,567,right,09,
duplicate_lower_or_base_reading,N1,きんし,近視,,568,left,06,
duplicate_lower_or_base_reading,N1,さいきん,細菌,,568,right,05,
duplicate_lower_or_base_reading,N1,じかく,自覚,,569,left,29,
duplicate_lower_or_base_reading,N1,しょう,症,,569,right,,
duplicate_lower_or_base_reading,N1,しょち,処置,,569,right,34,
duplicate_lower_or_base_reading,N1,しんこう,進行,,569,right,35,
duplicate_lower_or_base_reading,N1,つぐ,接ぐ,,570,right,05,
needs_review,N1,いきぐるしい,息苦しい,,572,left,,1
needs_review,N1,かんしょく,感触,,572,right,,1
needs_review,N1,けむたい,煙たい,,572,right,,1
needs_review,N1,しゅっけつ,出血,,572,right,,1
needs_review,N1,だいべん,大便,,572,right,,1
needs_review,N1,にょう,尿,,572,right,,1
duplicate_existing_n1_reading,N1,かんろく,員録,員録,574,left,05,
needs_review,N1,けいれき,経歴,,574,right,,1
needs_review,N1,こんけつ,混血,,574,right,,1
needs_review,N1,しょうたい,正体,,574,right,,1
needs_review,N1,たしゃ,他者,,574,right,,1
needs_review,N1,ただのひと,ただの人,,574,right,,1
duplicate_lower_or_base_reading,N1,せいねん,成年,,576,left,04,
needs_review,N1,かん,官,,576,right,,1
needs_review,N1,きぞく,貴族,,576,right,,1
duplicate_lower_or_base_reading,N1,こじん,故人,,577,left,10,
duplicate_lower_or_base_reading,N1,しゅ,主,,577,right,17,
needs_review,N1,しょくいん,職員,,578,left,,1
needs_review,N1,セレプ,celeb,,578,right,,1
needs_review,N1,たいか,大家,,578,right,,1
duplicate_lower_or_base_reading,N1,どうし,同志,,579,left,35,
needs_review,N1,やつ,奴,,580,right,,1
needs_review,N1,よそのひと,よその人,,580,right,,1
needs_review,N1,りょよきゃく・りょかく,旅客,,580,right,,1
needs_review,N1,いちどう,一同,,580,right,,1
needs_review,N1,かんしゅう,観衆,,580,right,,1
needs_review,N1,ぐんしゅう,和群集,,580,right,,1
duplicate_lower_or_base_reading,N1,ぐん,群,,581,left,05,
duplicate_lower_or_base_reading,N1,しゅう,衆,,581,left,09,
duplicate_lower_or_base_reading,N1,どうし,同士,,581,right,,
needs_review,N1,エレガント,elegant,,582,right,,1
needs_review,N1,かび,華美,,582,right,,1
needs_review,N1,きひん,気品,,582,right,,1
needs_review,N1,こうしょう,高尚,,582,right,,1
needs_review,N1,しこう,志向,,582,right,,1
duplicate_lower_or_base_reading,N1,あっとう,圧倒,,584,left,05,
duplicate_lower_or_base_reading,N1,いき,粋,,584,right,98,
duplicate_lower_or_base_reading,N1,いんき,陰気,,585,left,13,
needs_review,N1,おくびょう,騰病,,585,left,,1
duplicate_lower_or_base_reading,N1,おごそか,厳か,,585,left,18,
duplicate_lower_or_base_reading,N1,かって,勝手,,586,left,55,
needs_review,N1,かっぱつ,活発,,586,left,,1
needs_review,N1,がんこ,頑固,,586,left,,1
needs_review,N1,きがきく,気が利く,,586,left,,1
needs_review,N1,きさく,気さく,,586,left,,1
needs_review,N1,きなが,気長,,586,right,,1
duplicate_existing_n1_reading,N1,きまぐれ,気紛れ,形動、反覆不定、忽三忽四、反復不定、變化無常,587,left,38,
duplicate_lower_or_base_reading,N1,きょう,強,,587,left,40,
duplicate_lower_or_base_reading,N1,けんめい,臣明,,587,right,46,
duplicate_lower_or_base_reading,N1,こうい,行為,,587,right,47,
needs_review,N1,しゃこう,社交,,588,right,,1
duplicate_lower_or_base_reading,N1,たんき,短気,,589,right,71,
duplicate_lower_or_base_reading,N1,つよい,強い,,590,left,07,
needs_review,N1,どきょう,度胸,,590,right,,1
