level,reading,writing,page,column,entry_no,needs_review
N4,うら,裏,71,left,01,
N4,おもて,表,71,left,02,
N4,いがい,以外,71,left,03,
N4,うち,内,71,left,04,
N4,まんなか,真ん中,71,left,05,
N4,まわり,周り,71,right,06,
N4,あいだ,間,71,right,07,
N4,すみ,隅,71,right,08,
N4,てまえ,手前,71,right,09,
N4,てもと,手元,71,right,00,
N4,こっち,此方,72,left,11,
N4,どっち,何方,72,left,12,
N4,とおく,遠く,72,left,43,
N4,ほう,方,72,left,14,
N4,あく,空く,72,left,15,
N4,ちり,地理,72,left,01,
N4,しゃかい,社会,72,right,02,
N4,せいよう,西洋,72,right,03,
N4,せかい,世界,72,right,04,
N4,こくない,国内,72,right,05,
N4,むら,村,72,right,05,
N4,いなか,田舎,72,right,07,
N4,こうがい,郊外,73,left,08,
N4,しま,島,73,left,09,
N4,かいがん,海岸,73,left,10,
N4,みずうみ,湖,73,left,11,
N4,あさい,浅い,73,left,12,
N4,アジア,Asia,73,left,13,
N4,アフリカ,Africa,73,left,14,
N4,アメリカ,America,73,right,15,
N4,けん,県,73,right,06,
N4,さか,坂,73,right,09,
N4,さっき,,74,left,00,
N4,ゆうべ,夕ベ,74,left,02,
N4,このあいだ,この間,74,left,03,
N4,さいきん,最近,74,left,04,
N4,さいご,最後,74,left,05,
N4,さいしょ,最初,74,right,06,
N4,むかし,昔,74,right,07,
N4,ただいま,唯今・只今,74,right,,
N4,こんや,今夜,74,right,,
N4,あす,明日,74,right,,
N4,こんど,今度,75,left,11,
N4,さらいしゅう,再来週,75,left,12,
N4,さらいげつ,再来月,75,left,13,
N4,しょうらい,将来,75,left,14,
N4,とき,時,75,left,01,
N4,とし,年,75,right,08,
N4,はじめる,始める,75,right,04,
N4,おわり,終わり,75,right,08,
N4,いそぐ,急く,75,right,09,
N4,すぐに,直ぐに,75,right,00,
N4,まにあう,間に合う,75,right,08,
N4,あさねぼう,朝寝坊,76,left,09,
N4,おこす,起こす,76,left,10,
N4,ひるま,昼間,76,left,11,
N4,くれる,暮れる,76,right,02,
N4,このごろ,此の頃,76,right,03,
N4,じだい,時代,76,right,,
N4,いってまいります,行っ 参ります,77,left,01,
N4,いってらっしゃい,,77,left,02,
N4,よくいらっしゃいました,,77,left,04,
N4,おかげ,お陰,77,left,05,
N4,おだいじに,お大事に,77,right,07,
N4,かしこまりました,左まりました,77,right,08,
N4,おまたせしました,お待たせしました,77,right,09,
