declaredNormalizedReading,reading,writing,zh,source_page,source_column,source_entry_no
いわう,いわう,祝う,祝圓、慶祝、祝福、送賀禮、致賀詞、回成人在祝,228,left,01
きせい,きせい,帰省,歸省、回家、探親,228,left,02
まねく,まねく,招く,招呼、招待、宣請、招聘、聘請、招菩、招至,228,left,05
かんづめ,かんづめ,缶詰,罐頭、被關起來,229,left,03
ごむ,ゴム,ゴム,樹膠、橡皮、橡膠,229,right,06
ささる,ささる,刺さる,刺在.、在、扎進、刺入,229,right,07
しゃもじ,しゃもじ,柱字,村子、飯村,229,right,oe
せいのう,せいのう,性能,性能、機能、數能,229,right,10
せいひん,せいひん,製品,製品産品,229,right,11
せんざい,せんざい,洗剤,洗劑,230,left,
ちゅうかなべ,ちゅうかなべ,中華なべ,中華鍋,230,left,14
でんち,でんち,電池,電池、供電的小型裝置,230,left,05
てんと,テント,テント,帳篷,230,left,06
なべ,なべ,鍋,鍋子、火鍋、四鋼野菜炒,230,left,07
のこぎり,のこぎり,銀,鋸子、板引,230,right,
はぐるま,はぐるま,歯車,齒輪,230,right,
はた,はた,旗,旗、旗幟、幡,230,right,
ひも,ひも,紐,繩子、帶子,230,right,
ふぁすなあ,ファスナー,ファスナー,拉錬,230,right,
ふた,ふた,蓋,蓋子,231,left,24
ふらいばぱん,フライバパン,フライバパン,平底鍋,231,left,27
ぺんき,ペンキ,ペンキ,油漆,231,left,28
べんち,ベンチ,ベンチ,故坐到長椅上,231,left,29
ほうちょう,ほうちょう,包丁,菜刀、廚師、烹調手藝,231,left,30
まないた,まないた,まな板,砧板,231,right,32
らいたあ,ライター,ライター,打火機,231,right,34
りぼん,リボン,リボン,緞帶、蝴蝶結,231,right,36
れいんこおと,レインコート,レインコート,麵忘了常雨衣,232,left,37
ろぼっと,ロボット,ロボット,機器人,232,left,08
あいろん,アイロン,アイロン,雇用熨斗燙,232,left,01
あるばむ,アルバム,アルバム,相簿、記念冊,232,left,02
いんき,インキ,インキ,墨水,232,left,00
いんく,インク,インク,墨水、油墨、醮墨水,232,right,04
かあど,カード,カード,卡片,232,right,06
かあぺっと,カーペット,カーペット,地午,232,right,07
かでんせいひん,かでんせいひん,家電製品,家用電器,232,right,
かなづち,かなづち,金植,釘鍾、榔頭、早鴨子,233,left,10
くうらあ,クーラー,クーラー,冷氣設備,233,left,12
じょうぎ,じょうぎ,定規,尺、規尺、標準,233,left,15
すいはんき,すいはんき,炊飯器,電子鋼同蟬,233,right,07
せともの,せともの,瀬戸物,陶瓷品,233,right,09
せんぷうき,せんぷうき,扇風機,風扇、電選,233,right,21
そうじき,そうじき,掃除機,除塵機、吸塵器,233,right,22
そふぁあ,ソファー,ソファー,沙發,234,left,23
ちょおく,チョーク,チョーク,粉筆,234,left,25
てちょう,てちょう,手帳,筆記本、雑記本,234,left,02
とおすたあ,トースター,トースター,烤麵包機生,234,left,28
はさみ,はさみ,灸,剪刀、剪票鉗頁,234,right,00
ひいたあ,ヒーター,ヒーター,裝暖氣,234,right,01
びんせん,びんせん,便箋,信紙、便箋,234,right,02
ぶんぼうでぐ,ぶんぼうでぐ,文房具,文具、文房四寶,234,right,03
みしん,ミシン,ミシン,縫紉機、着物縫上,234,right,05
すいとう,すいとう,水筒,水筒、水壺,235,left,02
びん,びん,瓶,瓶子,235,left,03
ろっかあ,ロッカー,ロッカー,置物櫃,235,left,05
かいちゅうでんとう,かいちゅうでんとう,懐中電灯,手電筒,235,right,05
かせっと,カセット,カセット,加小暗含、録音磁帯録音,235,right,00
がめん,がめん,画面,書麵、照片、相片、畫麵、鏡豆,236,left,07
けいこうとう,けいこうとう,蛍光灯,螢光燈、日光燈,236,left,09
けいたい,けいたい,携帯,手機、攜帶,236,left,10
てえぷ,テープ,テープ,窄帶、線帶、布帶、卷尺、錄音帶,236,right,
でぃすぷれい,ディスプレイ,ディスプレイ,陳列、展覧題示、題示器,236,right,
ていでん,ていでん,停電,停電停止供電,236,right,
でじたる,デジタル,デジタル,數位的、數字的、計量的,236,right,
でんきゅう,でんきゅう,電球,電燈泡,237,left,19
はあどでぃすく,ハードディスク,ハードディスク,硬森,237,left,20
びでお,ビデオ,ビデオ,影像、錄影、錄影機、錄影帶,237,left,21
ふぁっくす,ファックス,ファックス,傳真,237,left,22
ぷりんたあ,プリンター,プリンター,印表機、印相片機,237,left,23
らいと,ライト,ライト,燈光,237,left,25
ろくが,ろくが,録画,旬錄影,237,right,07
おふぃす,オフィス,オフィス,辦公室、辦事處、公司政府機関,238,left,01
おめにかかる,おめにかかる,お目に掛かる,拜見、見到,238,left,02
かたづく,かたづく,片付く,収拾、整理好、得到解決、處裡好,238,left,03
ざんぎょう,ざんぎょう,残業,計加班作,238,right,05
しつぎょう,しつぎょう,和失業,邊失業,238,right,05
じょうし,じょうし,上司,上司、工作上的主管,239,left,13
すます,すます,済ます,完成、辦完,239,left,14
すませる,すませる,済ませる,弄完辦完、償還、還清、將詢、手続済,239,left,15
たいしょく,たいしょく,退職,退休、離職,239,right,48
はたらき,はたらき,働き,勞動工作、作用、功效、功勞、功續、功能、機能,239,right,21
めいし,めいし,名刺,名片,239,right,24
めいれい,めいれい,命令,命令、規定、指令、回命令受,240,left,25
めんせつ,めんせつ,面接,試、接見會麵,240,left,26
もどり,もどり,戻り,恢復原狀、回家、歸途,240,left,27
やくにたてる,やくにたてる,役に立てる,使用、使...有用,240,left,39
れべる,レベル,レベル,水平水準、水平線、水平儀,240,right,05
わりあて,わりあて,割り当て,分配、分派,240,right,05
あなうんさあ,アナウンサー,アナウンサー,播音員、主播,241,left,01
うんてんし,うんてんし,運転士,司機、駕駛員、船員,241,left,05
えきいん,えきいん,駅員,車站工作人員站務員、回膠員間,241,right,07
えんじにあ,エンジニア,エンジニア,工程師、技師,241,right,08
おんがくか,おんがくか,音楽家,音樂家,241,right,oo
がか,がか,画家,畫家,241,right,12
かめらまん,カメラマン,カメラマン,攝影師、攝影記者,242,left,14
ぎょう,ぎょう,業,性在金融業工作,242,left,18
けいさつかん,けいさつかん,警察官,警察官警官,242,right,03
けんちくか,けんちくか,建築家,建築師,242,right,04
さっきょくが,さっきょくが,作曲家,作曲家、創作樂曲的人,243,left,27
じえいぎよう,じえいぎよう,自営業,獨立經營、獨資,243,left,29
しゃしょう,しゃしょう,車掌,車掌列車貞,243,left,30
じゅんさ,じゅんさ,巡査,巡警,243,left,31
じょゆう,じょゆう,女優,女演員,243,right,32
せいじか,せいじか,政治家,政治家、從事政治的人,243,right,34
だいく,だいく,大工,木匠、木工,243,right,35
でざいなあ,デザイナー,デザイナー,設計師、圖案家,244,left,29
のうか,のうか,農家,農民、農戸、農民的家上,244,left,40
はいゆう,はいゆう,俳優,演員,244,left,42
ぱいろっと,パイロット,パイロット,領航員、飛行駕駛只、實驗性的,244,left,43
ぴあにすと,ピアニスト,ピアニスト,鍋琴師、鋼琴家、回方演圧,244,left,04
びようし,びようし,美容師,美容師、美髮師,244,right,
ふらいとあてんだんと,フライトアテンダント,フライトアテンダント,空服員,244,right,
